ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10519.215739966518,18043.08525824788
2018-08-01 13:00:00,14442.634000201642,10906.774581872149,18181.192355083433
2018-08-01 14:00:00,14507.755066682266,10902.907651472577,18190.78820016559
2018-08-01 15:00:00,14572.876134713419,10774.029938732556,18479.25203318117
2018-08-01 16:00:00,14637.997202110742,10855.38402194705,18367.363175958242
2018-08-01 17:00:00,14703.118267686943,10749.68974650697,18523.665936505673
2018-08-01 18:00:00,14768.239332549883,10839.291439625229,18552.416101605537
2018-08-01 19:00:00,14833.360398076962,11056.621578620832,18680.669254707736
2018-08-01 20:00:00,14898.481463604043,10953.433205549287,18698.83278458213
2018-08-01 21:00:00,14963.602529140793,10855.241903038337,18693.159580325533
2018-08-01 22:00:00,15028.72359649984,10954.023857517406,18918.73113098275
2018-08-01 23:00:00,15093.844663399106,10923.276872313554,18920.238873855757
2018-08-02 00:00:00,15158.965729273008,11187.04633781834,18784.522881615347
2018-08-02 01:00:00,15224.086795682832,11296.76768653463,19056.41149837505
2018-08-02 02:00:00,15289.207861855126,11526.260059403816,19253.76230626823
2018-08-02 03:00:00,15354.328927538345,11357.868157698498,18876.728026330176
2018-08-02 04:00:00,15419.449993449474,11477.526749432202,19338.47363123808
2018-08-02 05:00:00,15484.571057831841,11716.201334258742,19325.008770079294
2018-08-02 06:00:00,15549.69212396997,11576.790802038793,19280.180065151202
2018-08-02 07:00:00,15614.813188023083,11501.63927011222,19278.398124392625
2018-08-02 08:00:00,15679.934250634158,11783.093881572773,19413.120846562382
2018-08-02 09:00:00,15745.055313245233,11882.888879233944,19416.884089896976
2018-08-02 10:00:00,15810.176374602454,12033.626328758099,19930.833847702776
2018-08-02 11:00:00,15875.297436763629,12090.375493046486,19868.864173665872
2018-08-02 12:00:00,15940.418497042314,11655.624525053,19734.01499390071
2018-08-02 13:00:00,16005.539559011835,12421.280001501744,19710.595046829705
2018-08-02 14:00:00,16070.660621109879,12078.616010485373,19927.428955478495
2018-08-02 15:00:00,16135.781681934506,12194.065619221605,20188.080518222865
2018-08-02 16:00:00,16200.902741896381,12406.347781151098,19988.13727619267
2018-08-02 17:00:00,16266.023801858255,12271.243965985694,20285.866087674898
2018-08-02 18:00:00,16331.144861820128,12693.9448918413,20135.34302331337
2018-08-02 19:00:00,16396.265921782004,12737.732419904776,20486.72284259739
2018-08-02 20:00:00,16461.38698174388,12665.35775007881,20091.8253474513
2018-08-02 21:00:00,16526.50804170575,12890.197436374683,20177.001110229477
2018-08-02 22:00:00,16591.629101667626,12557.124053407171,20372.61572622324
2018-08-03 22:00:00,18154.534540752604,14606.026983553787,22067.990451111313
2018-08-04 22:00:00,19717.439979837585,15815.01973351555,23564.692126549344
2018-08-05 22:00:00,21280.345418922563,17250.541707296074,25338.034878969054
2018-08-06 22:00:00,22843.250858007545,19063.271377783898,26584.975660997985
2018-08-07 22:00:00,24406.15629709252,20440.014990276082,28146.278987902857
2018-08-08 22:00:00,25969.0617361775,22081.449106117023,29828.555853335354
2018-08-09 22:00:00,27531.967175262478,23766.233448108986,31357.04360817489
2018-08-10 22:00:00,29094.87261434746,25047.693961455192,32595.699059935272
2018-08-11 22:00:00,30657.778053432437,26864.444573361397,34170.50497224824
2018-08-12 22:00:00,32220.68349251742,28310.21660316168,36165.57091579611
2018-08-13 22:00:00,33783.5889316024,29996.328944862074,37555.12899882921
2018-08-14 22:00:00,35346.494370687375,31700.511820892174,38986.647240965445
2018-08-15 22:00:00,36909.39980977236,33200.51728700154,40604.67851283297
2018-08-16 22:00:00,38472.30524885734,34755.22400511477,42538.67852502883
2018-08-17 22:00:00,40035.21068794231,36231.563983957785,44130.92465330257
2018-08-18 22:00:00,41598.1161270273,37719.215165231246,45406.83776180374
2018-08-19 22:00:00,43161.02156611227,39226.87734026208,47051.6423100128
2018-08-20 22:00:00,44723.92700519725,40726.54661766797,48660.73314054492
2018-08-21 22:00:00,46286.83244428223,42470.10229771903,50265.053664647116
2018-08-22 22:00:00,47849.737883367205,44288.897655242305,51531.583869108435
2018-08-23 22:00:00,49412.64332245219,45340.16677657927,53183.13870280858
2018-08-24 22:00:00,50975.54876153717,47173.85369574765,54728.64640554032
2018-08-25 22:00:00,52538.454200622145,48742.67012018574,56222.2487993941
2018-08-26 22:00:00,54101.35963970712,50415.5421524603,57920.11145776977
2018-08-27 22:00:00,55664.26507879211,51814.38120921321,59425.88240540178
2018-08-28 22:00:00,57227.170517877086,53498.142386374755,60830.2295120968
2018-08-29 22:00:00,58790.075956962064,55123.87743994247,62500.603512473164
2018-08-30 22:00:00,60352.98139604705,56520.06446487404,64280.90608874304
2018-08-31 22:00:00,61915.88683513203,58087.194559077565,65670.00594254902
2018-09-01 22:00:00,63478.792274217005,59716.07778947729,67592.84254994566
