ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10429.699164486145,18082.990665841302
2018-08-01 13:00:00,14442.634000201642,10632.648005182584,18286.694128552903
2018-08-01 14:00:00,14507.755066682266,10710.44908925622,18204.130062681757
2018-08-01 15:00:00,14572.876134713419,10755.673678595444,18467.798544094214
2018-08-01 16:00:00,14637.997202110742,10496.429581045917,18354.180203103166
2018-08-01 17:00:00,14703.118267686943,11049.588204753227,18547.744516098184
2018-08-01 18:00:00,14768.239332549883,10788.189742065599,18568.54729532236
2018-08-01 19:00:00,14833.360398076962,10847.56333012171,18568.813615004972
2018-08-01 20:00:00,14898.481463604043,11092.756975883613,18610.738325773782
2018-08-01 21:00:00,14963.602529140793,11471.505482387127,18714.422139437545
2018-08-01 22:00:00,15028.72359649984,11137.766505952282,18965.459878138838
2018-08-01 23:00:00,15093.844663399106,11413.522560739902,19051.381451143738
2018-08-02 00:00:00,15158.965729273008,11058.779053869352,19303.265791125177
2018-08-02 01:00:00,15224.086795682832,11278.928451685337,19010.1690138092
2018-08-02 02:00:00,15289.207861855126,11510.457802854744,19318.65513731099
2018-08-02 03:00:00,15354.328927538345,11509.160611748403,19485.07131389211
2018-08-02 04:00:00,15419.449993449474,11511.437668237824,19357.98115268943
2018-08-02 05:00:00,15484.571057831841,11568.73392660898,19456.15125143803
2018-08-02 06:00:00,15549.69212396997,11739.86731339956,19436.354732757187
2018-08-02 07:00:00,15614.813188023083,11612.736123084367,19296.703305838375
2018-08-02 08:00:00,15679.934250634158,12211.873029491915,19292.957419655588
2018-08-02 09:00:00,15745.055313245233,11735.520142220234,19606.118898563735
2018-08-02 10:00:00,15810.176374602454,11777.284338723392,19526.23641416642
2018-08-02 11:00:00,15875.297436763629,11898.673715681327,19770.513521835834
2018-08-02 12:00:00,15940.418497042314,12350.307248262308,19555.63775799993
2018-08-02 13:00:00,16005.539559011835,12107.583442098367,19805.805788243695
2018-08-02 14:00:00,16070.660621109879,12114.741083439241,20184.964941700735
2018-08-02 15:00:00,16135.781681934506,12647.706509867297,20094.56606232461
2018-08-02 16:00:00,16200.902741896381,12637.744672571842,19933.796382217184
2018-08-02 17:00:00,16266.023801858255,12237.534605969611,20397.81536146289
2018-08-02 18:00:00,16331.144861820128,12708.559031948254,20082.005478650004
2018-08-02 19:00:00,16396.265921782004,12340.672106248829,20421.32301724037
2018-08-02 20:00:00,16461.38698174388,12398.640776579843,20247.702020448898
2018-08-02 21:00:00,16526.50804170575,12801.679271594805,20471.37791753348
2018-08-02 22:00:00,16591.629101667626,12243.804166150025,20164.181908311504
2018-08-03 22:00:00,18154.534540752604,14555.982330742261,21953.547862385843
2018-08-04 22:00:00,19717.439979837585,15903.124562546704,23925.405548962543
2018-08-05 22:00:00,21280.345418922563,17112.238176205206,24967.753541584952
2018-08-06 22:00:00,22843.250858007545,18816.42479233605,26573.54163497808
2018-08-07 22:00:00,24406.15629709252,20696.351157591635,28423.104259586977
2018-08-08 22:00:00,25969.0617361775,22293.930607064365,29578.32617602422
2018-08-09 22:00:00,27531.967175262478,23519.15728754808,31392.023988714496
2018-08-10 22:00:00,29094.87261434746,25525.54357080314,32880.09174757233
2018-08-11 22:00:00,30657.778053432437,27236.743633006805,34393.431952180974
2018-08-12 22:00:00,32220.68349251742,28371.994883992476,36014.48413500136
2018-08-13 22:00:00,33783.5889316024,30274.97440107396,37652.97015960725
2018-08-14 22:00:00,35346.494370687375,31647.637612445484,39563.05492532548
2018-08-15 22:00:00,36909.39980977236,32853.47804660971,40418.42320835096
2018-08-16 22:00:00,38472.30524885734,34741.83214364857,42259.48569859912
2018-08-17 22:00:00,40035.21068794231,36111.93471718038,43785.401869150264
2018-08-18 22:00:00,41598.1161270273,37628.781968324576,45475.65985929125
2018-08-19 22:00:00,43161.02156611227,39296.180179858646,46715.86814923235
2018-08-20 22:00:00,44723.92700519725,40853.77849847734,48666.828076807324
2018-08-21 22:00:00,46286.83244428223,42258.03677954381,50475.32824280889
2018-08-22 22:00:00,47849.737883367205,43884.841985964675,51633.827222892534
2018-08-23 22:00:00,49412.64332245219,45825.18969928525,53161.37237133851
2018-08-24 22:00:00,50975.54876153717,47233.605770733135,54867.89154084488
2018-08-25 22:00:00,52538.454200622145,48421.39752659795,56321.91783519722
2018-08-26 22:00:00,54101.35963970712,50273.55305593369,58083.70631810403
2018-08-27 22:00:00,55664.26507879211,51661.27914465857,59540.362692755894
2018-08-28 22:00:00,57227.170517877086,53397.07009297076,60614.143206765766
2018-08-29 22:00:00,58790.075956962064,55065.06003374207,62853.45823461598
2018-08-30 22:00:00,60352.98139604705,56466.088386936215,63920.95733485017
2018-08-31 22:00:00,61915.88683513203,58229.4377457288,65790.43896584332
2018-09-01 22:00:00,63478.792274217005,59314.62716013137,67282.63760992808
