ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10575.616287958861,18090.51832854065
2018-08-01 13:00:00,14442.634000201642,10521.988063931896,18533.69845285648
2018-08-01 14:00:00,14507.755066682266,10594.935608951346,18531.33780615552
2018-08-01 15:00:00,14572.876134713419,10910.583095320819,18378.68462043149
2018-08-01 16:00:00,14637.997202110742,10716.451666485347,18283.256427560053
2018-08-01 17:00:00,14703.118267686943,10912.77278084888,18503.70770629174
2018-08-01 18:00:00,14768.239332549883,10951.852392797135,18554.24140039626
2018-08-01 19:00:00,14833.360398076962,11039.401969314371,18696.35596199272
2018-08-01 20:00:00,14898.481463604043,10952.051073995564,18700.4003254887
2018-08-01 21:00:00,14963.602529140793,10935.27690942682,18836.073615452762
2018-08-01 22:00:00,15028.72359649984,11335.331499277083,18719.771106519263
2018-08-01 23:00:00,15093.844663399106,11373.606330251258,19021.49000773395
2018-08-02 00:00:00,15158.965729273008,11650.298609954942,19108.91260485234
2018-08-02 01:00:00,15224.086795682832,11645.742120209912,18945.56817543906
2018-08-02 02:00:00,15289.207861855126,11503.610372674339,19030.639231151024
2018-08-02 03:00:00,15354.328927538345,11408.521964618392,19467.373742861884
2018-08-02 04:00:00,15419.449993449474,11434.60537338615,19032.029012145187
2018-08-02 05:00:00,15484.571057831841,11755.356306335889,19392.96497429802
2018-08-02 06:00:00,15549.69212396997,11542.80757599656,19574.055699392204
2018-08-02 07:00:00,15614.813188023083,11765.744454540321,19469.29798935473
2018-08-02 08:00:00,15679.934250634158,12020.44613220926,19547.64727765687
2018-08-02 09:00:00,15745.055313245233,12004.793304708099,19820.914858774755
2018-08-02 10:00:00,15810.176374602454,11995.410860845726,19466.239356557035
2018-08-02 11:00:00,15875.297436763629,11938.388422112543,19664.94378171503
2018-08-02 12:00:00,15940.418497042314,11625.981060418644,20089.673163215222
2018-08-02 13:00:00,16005.539559011835,12210.532089083817,19717.290586137686
2018-08-02 14:00:00,16070.660621109879,12248.819372146867,19763.639003935383
2018-08-02 15:00:00,16135.781681934506,12196.042283945386,19655.3222679496
2018-08-02 16:00:00,16200.902741896381,12227.675064044899,19717.85983211511
2018-08-02 17:00:00,16266.023801858255,12460.103702624589,19982.425735132947
2018-08-02 18:00:00,16331.144861820128,12394.441333606217,20492.284208145644
2018-08-02 19:00:00,16396.265921782004,12574.965711780502,20401.52483257515
2018-08-02 20:00:00,16461.38698174388,12445.833371364299,20574.951184216723
2018-08-02 21:00:00,16526.50804170575,12645.311582878188,20489.06387896276
2018-08-02 22:00:00,16591.629101667626,12606.607411448605,20550.62906172025
2018-08-03 22:00:00,18154.534540752604,14188.199609232139,21878.606949938876
2018-08-04 22:00:00,19717.439979837585,15933.783251645975,23433.687723666808
2018-08-05 22:00:00,21280.345418922563,17426.003521094583,24755.521155496477
2018-08-06 22:00:00,22843.250858007545,18872.672678410552,26639.090347349695
2018-08-07 22:00:00,24406.15629709252,20553.405527912215,28209.310307173146
2018-08-08 22:00:00,25969.0617361775,22046.245387297084,29886.6688005034
2018-08-09 22:00:00,27531.967175262478,23651.08809424124,31488.646583279664
2018-08-10 22:00:00,29094.87261434746,25444.990658639912,32768.24626532687
2018-08-11 22:00:00,30657.778053432437,26833.976029928366,34534.21655437959
2018-08-12 22:00:00,32220.68349251742,28462.68624865102,35722.58149274969
2018-08-13 22:00:00,33783.5889316024,29931.44781025022,37953.441905774525
2018-08-14 22:00:00,35346.494370687375,31443.516448907143,39089.75537715009
2018-08-15 22:00:00,36909.39980977236,33131.929301618904,40615.95129168986
2018-08-16 22:00:00,38472.30524885734,34666.14951730443,42543.52139100464
2018-08-17 22:00:00,40035.21068794231,36480.475365117796,44062.81352626493
2018-08-18 22:00:00,41598.1161270273,37741.14069320852,45730.39516649905
2018-08-19 22:00:00,43161.02156611227,39348.992555170254,46984.30688359956
2018-08-20 22:00:00,44723.92700519725,40712.902389140676,48465.5151619638
2018-08-21 22:00:00,46286.83244428223,42554.74156586249,50250.40714992593
2018-08-22 22:00:00,47849.737883367205,43941.19905852086,51846.557312373916
2018-08-23 22:00:00,49412.64332245219,45336.63137493706,53423.916286427346
2018-08-24 22:00:00,50975.54876153717,47137.87047759838,55035.01096563435
2018-08-25 22:00:00,52538.454200622145,48590.43105042037,56464.063519725605
2018-08-26 22:00:00,54101.35963970712,50261.18291002802,58051.73937038151
2018-08-27 22:00:00,55664.26507879211,51830.070021931395,59487.30562381306
2018-08-28 22:00:00,57227.170517877086,53291.34209010461,61009.665646403955
2018-08-29 22:00:00,58790.075956962064,55017.43207841025,62361.58666953999
2018-08-30 22:00:00,60352.98139604705,56424.535462619424,64102.774613052476
2018-08-31 22:00:00,61915.88683513203,58030.22605841695,65903.49623835237
2018-09-01 22:00:00,63478.792274217005,59596.94369885599,67409.5119787076
