ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10600.530225792021,18262.098266984278
2018-08-01 13:00:00,14442.634000201642,10396.374433992993,18256.73689828461
2018-08-01 14:00:00,14507.755066682266,10693.772474361009,18474.423342928803
2018-08-01 15:00:00,14572.876134713419,10771.93085321694,18292.16706791386
2018-08-01 16:00:00,14637.997202110742,10681.017354408572,18562.194441290227
2018-08-01 17:00:00,14703.118267686943,10933.557374161523,18517.39138241107
2018-08-01 18:00:00,14768.239332549883,10650.991915057966,18678.414881022683
2018-08-01 19:00:00,14833.360398076962,11206.39254378334,18624.215300252978
2018-08-01 20:00:00,14898.481463604043,10957.254974255042,19091.599499820837
2018-08-01 21:00:00,14963.602529140793,10854.965151639286,18834.331108305236
2018-08-01 22:00:00,15028.72359649984,11142.337022249392,19010.449795983604
2018-08-01 23:00:00,15093.844663399106,10991.190796269066,18765.35364939453
2018-08-02 00:00:00,15158.965729273008,11245.864523063845,19181.982018202136
2018-08-02 01:00:00,15224.086795682832,11217.764127867988,19139.42032100505
2018-08-02 02:00:00,15289.207861855126,11467.22263017027,19544.598807604674
2018-08-02 03:00:00,15354.328927538345,11497.190409721907,19029.947339371785
2018-08-02 04:00:00,15419.449993449474,11712.726577815645,19091.32511382521
2018-08-02 05:00:00,15484.571057831841,11616.582814316891,19555.190808942585
2018-08-02 06:00:00,15549.69212396997,11820.631098383772,19585.124529867368
2018-08-02 07:00:00,15614.813188023083,11737.902616461006,19326.70059103699
2018-08-02 08:00:00,15679.934250634158,11928.662263798095,19265.66536197198
2018-08-02 09:00:00,15745.055313245233,11965.622065928039,19655.756487288625
2018-08-02 10:00:00,15810.176374602454,12059.214475633678,19322.406777785513
2018-08-02 11:00:00,15875.297436763629,12187.387563370406,19954.774416652504
2018-08-02 12:00:00,15940.418497042314,11873.671936524077,19910.70306569477
2018-08-02 13:00:00,16005.539559011835,11913.138246494767,19849.757567093744
2018-08-02 14:00:00,16070.660621109879,12074.82560306214,20077.43728988825
2018-08-02 15:00:00,16135.781681934506,12215.880338927791,20078.008600672445
2018-08-02 16:00:00,16200.902741896381,12519.442447541647,20205.336549929096
2018-08-02 17:00:00,16266.023801858255,12429.415722733946,20100.96594763789
2018-08-02 18:00:00,16331.144861820128,12674.027147684117,20078.622421971395
2018-08-02 19:00:00,16396.265921782004,12398.543645570291,20271.93615286096
2018-08-02 20:00:00,16461.38698174388,12917.407467975383,20404.91214126672
2018-08-02 21:00:00,16526.50804170575,12786.065181235306,20398.929361357572
2018-08-02 22:00:00,16591.629101667626,12431.985961367449,20296.345539282087
2018-08-03 22:00:00,18154.534540752604,14447.014705299893,21760.99182368299
2018-08-04 22:00:00,19717.439979837585,15893.171879115214,23496.39806967844
2018-08-05 22:00:00,21280.345418922563,17197.879901563705,25302.871813378963
2018-08-06 22:00:00,22843.250858007545,19018.486121291127,26625.502612021464
2018-08-07 22:00:00,24406.15629709252,20305.866175232084,28017.31040691784
2018-08-08 22:00:00,25969.0617361775,22427.388477928493,29982.588878086317
2018-08-09 22:00:00,27531.967175262478,23888.49915332207,31358.159405576236
2018-08-10 22:00:00,29094.87261434746,25010.06692982144,33206.04998992968
2018-08-11 22:00:00,30657.778053432437,26794.315459343437,34311.8940638976
2018-08-12 22:00:00,32220.68349251742,28150.962029369322,36101.33302487125
2018-08-13 22:00:00,33783.5889316024,30024.730678898715,37592.82370100738
2018-08-14 22:00:00,35346.494370687375,31611.862854865594,39138.51870464039
2018-08-15 22:00:00,36909.39980977236,32909.466061344945,40897.1144188799
2018-08-16 22:00:00,38472.30524885734,34546.04185662757,42422.60261363192
2018-08-17 22:00:00,40035.21068794231,36303.178054912714,43963.26381895846
2018-08-18 22:00:00,41598.1161270273,37775.12664990622,45532.15719070435
2018-08-19 22:00:00,43161.02156611227,39316.0986240082,47020.34234086445
2018-08-20 22:00:00,44723.92700519725,40931.63842974257,48472.51408909248
2018-08-21 22:00:00,46286.83244428223,42468.55544569832,50360.82806528486
2018-08-22 22:00:00,47849.737883367205,44171.61401893222,51662.734311606255
2018-08-23 22:00:00,49412.64332245219,45619.15530675291,53623.641953118786
2018-08-24 22:00:00,50975.54876153717,47051.301414970185,55274.562293286785
2018-08-25 22:00:00,52538.454200622145,48866.59801621454,56608.44087972706
2018-08-26 22:00:00,54101.35963970712,50499.73834257003,57707.13917606267
2018-08-27 22:00:00,55664.26507879211,51745.29376035268,59556.62515894816
2018-08-28 22:00:00,57227.170517877086,53297.95629630257,60823.188841480805
2018-08-29 22:00:00,58790.075956962064,54876.86763078763,62757.058074361776
2018-08-30 22:00:00,60352.98139604705,56225.94063229118,64148.21446702194
2018-08-31 22:00:00,61915.88683513203,58175.030967944265,65917.68656951406
2018-09-01 22:00:00,63478.792274217005,59787.690581127994,67059.7916848837
