ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10676.13956529786,18293.012645482326
2018-08-01 13:00:00,14442.634000201642,10918.74683712511,18364.322095278265
2018-08-01 14:00:00,14507.755066682266,10588.627292592593,18362.1733355942
2018-08-01 15:00:00,14572.876134713419,10736.65690314404,18463.486381740844
2018-08-01 16:00:00,14637.997202110742,10998.34413548215,18806.649650987707
2018-08-01 17:00:00,14703.118267686943,11011.699084963104,18582.20047998323
2018-08-01 18:00:00,14768.239332549883,11100.986360480569,18931.444395852042
2018-08-01 19:00:00,14833.360398076962,10659.014179584135,18550.758195682112
2018-08-01 20:00:00,14898.481463604043,11055.715759165376,18725.301430834807
2018-08-01 21:00:00,14963.602529140793,11009.142297302305,18872.348457409378
2018-08-01 22:00:00,15028.72359649984,11247.012957135294,18803.878403903018
2018-08-01 23:00:00,15093.844663399106,11278.827940586578,18953.041530136295
2018-08-02 00:00:00,15158.965729273008,11094.161525423655,19006.282496667252
2018-08-02 01:00:00,15224.086795682832,11548.095125317324,19073.673485502724
2018-08-02 02:00:00,15289.207861855126,11583.031709007342,19159.34946438061
2018-08-02 03:00:00,15354.328927538345,11433.59187884039,19418.25332105934
2018-08-02 04:00:00,15419.449993449474,11707.74615577358,19169.595047456805
2018-08-02 05:00:00,15484.571057831841,11471.732779773336,19243.14629136888
2018-08-02 06:00:00,15549.69212396997,11696.984096640012,19403.139879715294
2018-08-02 07:00:00,15614.813188023083,11732.266725111758,19417.684658049264
2018-08-02 08:00:00,15679.934250634158,12051.491576018498,19725.40575800775
2018-08-02 09:00:00,15745.055313245233,11694.614198866479,19545.281780330166
2018-08-02 10:00:00,15810.176374602454,11975.52245261509,19987.476161188166
2018-08-02 11:00:00,15875.297436763629,12343.094342158327,19525.270986262676
2018-08-02 12:00:00,15940.418497042314,12160.019669146799,19835.44150930792
2018-08-02 13:00:00,16005.539559011835,12106.333859349033,19817.446091967508
2018-08-02 14:00:00,16070.660621109879,12362.21975357831,19933.047695959263
2018-08-02 15:00:00,16135.781681934506,12180.680528408864,19479.343097194036
2018-08-02 16:00:00,16200.902741896381,12429.149104925385,19862.04485192997
2018-08-02 17:00:00,16266.023801858255,12387.438220853759,19988.206388852985
2018-08-02 18:00:00,16331.144861820128,12456.59432127158,20051.420827289967
2018-08-02 19:00:00,16396.265921782004,12504.04409613976,20202.03016718697
2018-08-02 20:00:00,16461.38698174388,12620.46417844257,20396.709107138693
2018-08-02 21:00:00,16526.50804170575,12725.868187673785,20518.214685697745
2018-08-02 22:00:00,16591.629101667626,12665.947247640757,20119.437852334926
2018-08-03 22:00:00,18154.534540752604,14157.970999465399,22261.724608290024
2018-08-04 22:00:00,19717.439979837585,15923.088292224917,23529.493163865565
2018-08-05 22:00:00,21280.345418922563,17343.644018326933,25276.06957806469
2018-08-06 22:00:00,22843.250858007545,19304.43435580848,26916.79044294564
2018-08-07 22:00:00,24406.15629709252,20498.18354832253,28374.11456415766
2018-08-08 22:00:00,25969.0617361775,22216.884500000848,30015.08463082435
2018-08-09 22:00:00,27531.967175262478,23683.640837876326,31203.99969928771
2018-08-10 22:00:00,29094.87261434746,25176.96603435824,32948.24220451978
2018-08-11 22:00:00,30657.778053432437,26903.64529340154,34460.17213986941
2018-08-12 22:00:00,32220.68349251742,28648.74562754727,36093.52421167308
2018-08-13 22:00:00,33783.5889316024,29890.85978958692,37855.34461222141
2018-08-14 22:00:00,35346.494370687375,31598.40170022157,39097.85593543679
2018-08-15 22:00:00,36909.39980977236,33414.90376132773,40723.63324446268
2018-08-16 22:00:00,38472.30524885734,34538.11628703677,42309.81950822025
2018-08-17 22:00:00,40035.21068794231,36186.07908734048,43684.36458119546
2018-08-18 22:00:00,41598.1161270273,37519.90848357054,45416.19264477855
2018-08-19 22:00:00,43161.02156611227,39510.008596172804,47182.45505348516
2018-08-20 22:00:00,44723.92700519725,40829.5764293839,48534.5921397499
2018-08-21 22:00:00,46286.83244428223,42592.67314870283,50018.34633997473
2018-08-22 22:00:00,47849.737883367205,43666.121726667974,51586.16607930005
2018-08-23 22:00:00,49412.64332245219,45482.987685172615,53241.40682671413
2018-08-24 22:00:00,50975.54876153717,46803.25494591381,54814.06799697122
2018-08-25 22:00:00,52538.454200622145,48729.82835290648,56505.74757012647
2018-08-26 22:00:00,54101.35963970712,50173.26939341297,57984.16299823548
