ID,FRAUD,DATE,POLICY_LENGTH,LOCALITY,REGION,GENDER,CLAIM_POLICY_DIFF_A,CLAIM_POLICY_DIFF_B,CLAIM_POLICY_DIFF_C,CLAIM_POLICY_DIFF_D,CLAIM_POLICY_DIFF_E,POLICY_CLAIM_DAY_DIFF,DISTINCT_PARTIES_ON_CLAIM,CLM_AFTER_RNWL,NOTIF_AFT_RENEWAL,CLM_DURING_CAX,COMPLAINT,CLM_before_PAYMENT,PROP_before_CLM,NCD_REC_before_CLM,NOTIF_DELAY,ACCIDENT_NIGHT,NUM_PI_CLAIM,NEW_VEHICLE_BEFORE_CLAIM,PERSONAL_INJURY_INDICATOR,CLAIM_TYPE_ACCIDENT,CLAIM_TYPE_FIRE,CLAIM_TYPE_MOTOR_THEFT,CLAIM_TYPE_OTHER,CLAIM_TYPE_WINDSCREEN,LOCAL_TEL_MATCH,LOCAL_M_CLM_ADD_MATCH,LOCAL_M_CLM_PERS_MATCH,LOCAL_NON_CLM_ADD_MATCH,LOCAL_NON_CLM_PERS_MATCH,federal_TEL_MATCH,federal_CLM_ADD_MATCH,federal_CLM_PERS_MATCH,federal_NON_CLM_ADD_MATCH,federal_NON_CLM_PERS_MATCH,SCR_LOCAL_RULE_COUNT,SCR_NAT_RULE_COUNT,RULE_MATCHES,CLAIM_DESCRIPTION
1,0,,12 month,OX29,OX,1,0,0,0,1,0,94.0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,this via others themselves inc become within ours slow parking lot fast vehicle roundabout mall not indicating car caravan neck emergency
3,1,31/01/2013,12 month,LN2,LN,1,1,0,0,0,0,5.0,21,0,0,0,0,0,0,1,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,indeed none you to somehow call whereas anyhow driving left school motorbike fast roundabout caravan slow mall vehicle emergency
4,1,,12 month,SL6,SL,1,1,0,0,0,0,7.0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,am not fire same now over whence therein right left not indicating car carpark sun fast stopped suddenly vehicle whiplash
6,0,31/01/2014,12 month,LA4,LA,0,0,0,0,0,1,178.0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nor put see not seems serious is herself motorbike caravan parking lot car right school van sun indicating emergency whiplash
9,0,31/07/2013,12 month,CM8,CM,1,0,0,0,1,0,147.5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,more being third us part but found neither not indicating windscreen vehicle brakes mall right van left sun emergency speed limit
10,0,31/07/2013,12 month,BT82,BT,0,0,0,0,1,0,70.5,5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,would couldnt etc or wherever her may this carpark van sun parking lot slow left right stopped driving neck vehicle
11,0,31/03/2013,6 month,NR30,NR,0,0,1,0,0,0,18.0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,have co further three cant found whereafter nevertheless mall roundabout stopped right windscreen van brakes caravan parking lot emergency vehicle
12,0,,12 month,NE27,NE,1,0,0,0,0,1,181.0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,cant still front among whom wherein serious part not indicating roundabout caravan motorbike car right fast slow parking lot whiplash neck
13,0,31/07/2014,9 month,M28,M,1,0,0,0,1,0,122.5,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,formerly rather it but might former neither done mall roundabout brakes fast indicating school left motorbike carpark vehicle emergency
14,0,31/03/2014,6 month,SR8,SR,0,0,0,0,1,0,140.5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,become no being throughout someone twelve part whole motorbike slow roundabout indicating parking lot sun car stopped vehicle vehicle emergency
