ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:30:00,14559.518636445378,10863.10711325243,18481.16342242782
2018-08-01 13:00:00,14619.35665925722,10459.908884256865,18643.00769245331
2018-08-01 13:30:00,14679.19468205468,10847.847704261929,18584.480356938297
2018-08-01 14:00:00,14739.032704863,11030.442867253554,18733.2160099625
2018-08-01 14:30:00,14798.870727763078,10822.323149691125,18766.370777903514
2018-08-01 15:00:00,14858.708750753594,11194.759705915483,18520.03371629297
2018-08-01 15:30:00,14918.546773795195,11239.269739519308,18930.66414327129
2018-08-01 16:00:00,14978.384796921071,11299.273170811997,19175.49380068724
2018-08-01 16:30:00,15038.222819959434,11215.734684948055,18928.07339446247
2018-08-01 17:00:00,15098.060843048637,11249.833515269258,19031.63519590107
2018-08-01 17:30:00,15157.89886604028,11280.84621353521,18837.909225546355
2018-08-01 18:00:00,15217.73688900877,11301.085606122837,18761.557511977015
2018-08-01 18:30:00,15277.574912025157,11545.48847975022,19275.413330606505
2018-08-01 19:00:00,15337.412934934078,11460.948639953624,19352.782434816752
2018-08-01 19:30:00,15397.250957843002,11714.458018624222,19618.540131964233
2018-08-01 20:00:00,15457.088980617407,11657.841855101378,19683.87966093334
2018-08-01 20:30:00,15516.927003343868,11723.29318492407,19559.483453342895
2018-08-01 21:00:00,15576.76502617556,11752.784940583611,19269.193659086864
2018-08-01 21:30:00,15636.603048999099,11904.933493095177,19786.49141600246
2018-08-01 22:00:00,15696.441071837946,11914.63969856849,19704.933741130724
2018-08-01 22:30:00,15756.279094781627,11889.31327139486,19748.35558065222
2018-08-01 23:00:00,15816.1171176788,11842.166321913857,19954.150444570398
2018-08-01 23:30:00,15875.955140533764,12038.410849532322,19978.521513322758
2018-08-02 00:00:00,15935.79316334922,11663.125466054695,19894.31748805988
2018-08-02 00:30:00,15995.631186087843,12443.828408623382,20036.83982991358
2018-08-02 01:00:00,16055.469208803548,12197.131975209239,19978.525785632643
2018-08-02 01:30:00,16115.307231573188,12180.985820508236,19910.025982612573
2018-08-02 02:00:00,16175.145254238758,12548.583550822863,20227.20838787724
2018-08-02 02:30:00,16234.983276904328,12469.600172716435,20169.09486822974
2018-08-02 03:00:00,16294.8212995699,12383.199246278824,20470.858915941313
2018-08-02 03:30:00,16354.659322235468,12522.386547942408,20468.255829750204
2018-08-02 04:00:00,16414.49734490104,12323.846390296627,20260.70177546349
2018-08-02 04:30:00,16474.33536756661,12482.804598132581,20338.032350515165
2018-08-02 05:00:00,16534.173390232183,13120.966225743017,20480.610997620617
2018-08-03 05:00:00,19406.398478179563,15607.170644918246,23512.191119225285
2018-08-04 05:00:00,22278.62356612695,18445.784686543902,25934.619621409704
2018-08-05 05:00:00,25150.84865407433,21380.68880754057,28882.661125071634
2018-08-06 05:00:00,28023.073742021712,23992.67453983163,31771.53572051517
2018-08-07 05:00:00,30895.29882996909,27193.550560001655,34722.349092294426
2018-08-08 05:00:00,33767.52391791647,29770.64985128134,37573.0734223815
2018-08-09 05:00:00,36639.74900586386,32936.20255174261,40594.521264574556
2018-08-10 05:00:00,39511.974093811245,35670.59324663957,43479.257445827534
2018-08-11 05:00:00,42384.19918175863,38273.9049916881,46349.69185784262
2018-08-12 05:00:00,45256.424269706,41223.07310616765,49204.16368652421
2018-08-13 05:00:00,48128.64935765339,44145.343231973595,51930.64266234243
2018-08-14 05:00:00,51000.87444560077,47177.59779602515,55149.56140493471
2018-08-15 05:00:00,53873.09953354816,49949.0315018188,57732.38063746229
2018-08-16 05:00:00,56745.324621495536,52893.95728160667,60301.00524849476
2018-08-17 05:00:00,59617.54970944291,55876.22642875428,63515.471671214196
2018-08-18 05:00:00,62489.774797390295,58670.37617042206,66405.04131724343
2018-08-19 05:00:00,65361.99988533768,61557.770944757234,69216.97005035609
2018-08-20 05:00:00,68234.22497328508,64258.66250392123,72194.23151828253
2018-08-21 05:00:00,71106.45006123245,67602.93728008599,74875.85960475318
2018-08-22 05:00:00,73978.67514917983,70239.90946696671,77956.26328348955
2018-08-23 05:00:00,76850.90023712722,72889.39267010345,80779.05295463701
2018-08-24 05:00:00,79723.1253250746,75837.92928795084,83352.69392764561
2018-08-25 05:00:00,82595.35041302197,78568.89008560183,86336.82360031806
2018-08-26 05:00:00,85467.57550096935,81587.13389388667,89424.69645325904
2018-08-27 05:00:00,88339.80058891674,84478.59319000665,92201.10578399719
2018-08-28 05:00:00,91212.02567686414,87283.15424164201,94928.93370623873
2018-08-29 05:00:00,94084.25076481151,90292.66402327598,98033.68412140089
2018-08-30 05:00:00,96956.4758527589,93184.33619367519,100701.80177467632
2018-08-31 05:00:00,99828.70094070627,95994.14343957229,103813.9655780864
2018-09-01 05:00:00,102700.92602865364,98986.52279356215,106508.14870524875
