ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10651.883007954571,18326.802897742637
2018-08-01 12:30:00,14442.634000201642,10600.208810725184,18265.442008875765
2018-08-01 13:00:00,14507.755066682266,10634.210558959578,18287.49806303283
2018-08-01 13:30:00,14572.876134713419,10805.11148524857,18413.771605888454
2018-08-01 14:00:00,14637.997202110742,10926.964200899321,18467.284120927092
2018-08-01 14:30:00,14703.118267686943,10835.034578566689,18740.624375633874
2018-08-01 15:00:00,14768.239332549883,10915.741971693422,18566.802540719636
2018-08-01 15:30:00,14833.360398076962,10870.623220889667,18392.99588453079
2018-08-01 16:00:00,14898.481463604043,10824.505601140516,18568.687592469614
2018-08-01 16:30:00,14963.602529140793,10872.752846283796,18735.909760879902
2018-08-01 17:00:00,15028.72359649984,11124.020726841949,18903.03960849597
2018-08-01 17:30:00,15093.844663399106,11236.173465221658,18906.22009394487
2018-08-01 18:00:00,15158.965729273008,11449.65259509015,19251.32012324108
2018-08-01 18:30:00,15224.086795682832,11316.658371588255,18970.445639460588
2018-08-01 19:00:00,15289.207861855126,11535.131752609925,19362.774416480508
2018-08-01 19:30:00,15354.328927538345,11432.907022771311,19140.062077115825
2018-08-01 20:00:00,15419.449993449474,11375.154116047064,19328.947137880503
2018-08-01 20:30:00,15484.571057831841,11874.721758724543,19095.977892759205
2018-08-01 21:00:00,15549.69212396997,11795.064624399485,19106.336124519
2018-08-01 21:30:00,15614.813188023083,11570.008149804144,19597.71018761382
2018-08-01 22:00:00,15679.934250634158,11561.712556954495,19705.60837181561
2018-08-01 22:30:00,15745.055313245233,12083.219140359522,19581.320368505632
2018-08-01 23:00:00,15810.176374602454,11836.639553508747,19418.711364620725
2018-08-01 23:30:00,15875.297436763629,11785.894651827393,20108.779794264432
2018-08-02 00:00:00,15940.418497042314,12097.406621849232,19881.373689654196
2018-08-02 00:30:00,16005.539559011835,12017.739452172402,19798.312128069647
2018-08-02 01:00:00,16070.660621109879,12474.714131009985,19926.318401768647
2018-08-02 01:30:00,16135.781681934506,12139.138104669448,19919.979803610015
2018-08-02 02:00:00,16200.902741896381,12290.459193774213,20030.701231719784
2018-08-02 02:30:00,16266.023801858255,12418.015421847836,20197.16983492983
2018-08-02 03:00:00,16331.144861820128,12368.745826719596,20481.027995595094
2018-08-02 03:30:00,16396.265921782004,12682.394493784821,20495.46246573563
2018-08-02 04:00:00,16461.38698174388,12934.386387977827,20405.191030295904
2018-08-02 04:30:00,16526.50804170575,12689.865720862339,20482.12772928879
2018-08-02 05:00:00,16591.629101667626,12662.048010588605,20343.065668397343
2018-08-03 05:00:00,19717.439979837585,16034.346922841494,23604.97263578299
2018-08-04 05:00:00,22843.250858007545,18973.192198341458,26812.037343589298
2018-08-05 05:00:00,25969.0617361775,22041.14168646433,29855.76827297392
2018-08-06 05:00:00,29094.87261434746,25367.98803240069,32876.726324126284
2018-08-07 05:00:00,32220.68349251742,28112.05727331064,36100.31408025215
2018-08-08 05:00:00,35346.494370687375,31776.690301426985,39087.66140170174
2018-08-09 05:00:00,38472.30524885734,34747.04668531492,42335.70756105132
2018-08-10 05:00:00,41598.1161270273,37885.063683229986,45325.97449821712
2018-08-11 05:00:00,44723.92700519725,40926.766502163635,48702.35508405687
2018-08-12 05:00:00,47849.737883367205,44073.67918834201,51557.945473924425
2018-08-13 05:00:00,50975.54876153717,47234.876531709204,54834.11833258192
2018-08-14 05:00:00,54101.35963970712,50475.20420871382,58071.96184749025
2018-08-15 05:00:00,57227.170517877086,53509.51563549932,61322.02543949677
2018-08-16 05:00:00,60352.98139604705,56586.36330731643,64181.390857644226
2018-08-17 05:00:00,63478.792274217005,59536.13610327196,67109.02636110481
2018-08-18 05:00:00,66604.60315238696,62639.84532107697,70648.33259475439
2018-08-19 05:00:00,69730.41403055692,66248.71904345324,73732.07870303748
2018-08-20 05:00:00,72856.22490872687,69127.33210936133,76861.75910365918
2018-08-21 05:00:00,75982.03578689684,72123.30073464371,79841.82814746098
2018-08-22 05:00:00,79107.84666506678,75123.23983100883,82844.5362764583
2018-08-23 05:00:00,82233.65754323675,78812.53831745853,86131.0741780717
2018-08-24 05:00:00,85359.46842140671,81291.390186011,88779.57414416334
2018-08-25 05:00:00,88485.27929957666,84648.9738406611,92580.84979598086
2018-08-26 05:00:00,91611.09017774662,87705.299355192,95504.49615823197
2018-08-27 05:00:00,94736.90105591659,90565.74024875139,98841.94915142097
2018-08-28 05:00:00,97862.71193408653,93772.70135730653,101732.04891370078
2018-08-29 05:00:00,100988.5228122565,97155.95931494844,104626.78148494549
2018-08-30 05:00:00,104114.33369042646,100159.5477875548,107769.49663449303
2018-08-31 05:00:00,107240.14456859641,103562.08530673744,111303.19247822842
2018-09-01 05:00:00,110365.95544676637,106575.6520135009,114353.45547937468
