ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10180.114614647704,18101.930546510244
2018-08-01 12:30:00,14442.634000201642,10624.126036825635,18269.057480971987
2018-08-01 13:00:00,14507.755066682266,10626.390897656738,18358.352153754604
2018-08-01 13:30:00,14572.876134713419,10699.805032980941,18429.934653591456
2018-08-01 14:00:00,14637.997202110742,10508.841621168594,18488.929369686477
2018-08-01 14:30:00,14703.118267686943,10875.124353799729,18672.137021814135
2018-08-01 15:00:00,14768.239332549883,11088.525509685971,18605.960118208513
2018-08-01 15:30:00,14833.360398076962,11296.90550989492,19105.517097775763
2018-08-01 16:00:00,14898.481463604043,10869.13593168665,18635.559805799065
2018-08-01 16:30:00,14963.602529140793,11352.29719580674,19010.093562873637
2018-08-01 17:00:00,15028.72359649984,10934.831961086822,18805.0241170452
2018-08-01 17:30:00,15093.844663399106,11562.076124465215,18793.236357315618
2018-08-01 18:00:00,15158.965729273008,11391.271509788545,18972.58448488355
2018-08-01 18:30:00,15224.086795682832,11520.210392097193,19244.65291199138
2018-08-01 19:00:00,15289.207861855126,11715.942077837757,19322.482256199375
2018-08-01 19:30:00,15354.328927538345,11556.73733905516,19189.55835993766
2018-08-01 20:00:00,15419.449993449474,11512.741589044443,19178.624866437847
2018-08-01 20:30:00,15484.571057831841,11768.134711594521,19387.257879304347
2018-08-01 21:00:00,15549.69212396997,11938.946519967441,19309.622953822363
2018-08-01 21:30:00,15614.813188023083,12085.358845814273,19336.302399924443
2018-08-01 22:00:00,15679.934250634158,11822.96643414067,19845.62296892117
2018-08-01 22:30:00,15745.055313245233,11696.38554498817,19511.780214919687
2018-08-01 23:00:00,15810.176374602454,11859.393312647811,19686.611282268474
2018-08-01 23:30:00,15875.297436763629,11798.380848786011,19573.111950097682
2018-08-02 00:00:00,15940.418497042314,12279.028502403578,19927.219637690967
2018-08-02 00:30:00,16005.539559011835,12309.34686479914,19906.519206205507
2018-08-02 01:00:00,16070.660621109879,11889.627048910304,19971.810567593133
2018-08-02 01:30:00,16135.781681934506,12082.899603722917,19838.662400441848
2018-08-02 02:00:00,16200.902741896381,12390.378477886386,19926.673419566625
2018-08-02 02:30:00,16266.023801858255,12494.569473841242,20054.55011744334
2018-08-02 03:00:00,16331.144861820128,12511.864551595127,20228.305916538193
2018-08-02 03:30:00,16396.265921782004,12547.530186572005,20051.507850110756
2018-08-02 04:00:00,16461.38698174388,12854.010508427538,20266.376963078506
2018-08-02 04:30:00,16526.50804170575,12699.167348915258,20260.17133527034
2018-08-02 05:00:00,16591.629101667626,12780.426252885605,20488.703804662375
2018-08-03 05:00:00,19717.439979837585,15885.09615321385,23667.918693541196
2018-08-04 05:00:00,22843.250858007545,19141.528722807787,26721.589025268546
2018-08-05 05:00:00,25969.0617361775,22328.88489527988,30052.11680788844
2018-08-06 05:00:00,29094.87261434746,25157.41321204505,33152.675904707976
2018-08-07 05:00:00,32220.68349251742,28478.14297719381,35746.15644447574
2018-08-08 05:00:00,35346.494370687375,31576.36852270964,39456.604615453296
2018-08-09 05:00:00,38472.30524885734,34758.701686064494,42228.89683528227
2018-08-10 05:00:00,41598.1161270273,37498.73372583598,45179.81190881902
2018-08-11 05:00:00,44723.92700519725,41136.06736752392,48562.9715972397
2018-08-12 05:00:00,47849.737883367205,43902.50446613581,51837.55923228593
2018-08-13 05:00:00,50975.54876153717,47527.858551085366,54695.878140083005
2018-08-14 05:00:00,54101.35963970712,50225.387482459206,58062.44556673945
2018-08-15 05:00:00,57227.170517877086,53170.927582337375,60994.93762177716
2018-08-16 05:00:00,60352.98139604705,56646.905371716755,64210.7481335567
2018-08-17 05:00:00,63478.792274217005,59440.316706338745,67426.59707646533
2018-08-18 05:00:00,66604.60315238696,62797.94170666195,70603.45616893317
2018-08-19 05:00:00,69730.41403055692,65887.60406065166,73521.93751506321
2018-08-20 05:00:00,72856.22490872687,68949.2348509246,77083.66034267502
2018-08-21 05:00:00,75982.03578689684,72301.14855474977,79884.55835153427
2018-08-22 05:00:00,79107.84666506678,75112.05757069957,82791.54333586524
2018-08-23 05:00:00,82233.65754323675,78414.1550960027,85985.00375476664
2018-08-24 05:00:00,85359.46842140671,81657.16347970773,89386.64306846059
2018-08-25 05:00:00,88485.27929957666,84399.45346979467,92437.053383958
2018-08-26 05:00:00,91611.09017774662,88128.15644200705,95473.29253755562
2018-08-27 05:00:00,94736.90105591659,91125.79797705708,98454.72003854685
2018-08-28 05:00:00,97862.71193408653,94146.26526337044,101809.42607322735
2018-08-29 05:00:00,100988.5228122565,97287.64041104775,104771.33668033929
2018-08-30 05:00:00,104114.33369042646,100436.71039263318,107814.4048061448
2018-08-31 05:00:00,107240.14456859641,103558.6200559639,110869.72034328275
2018-09-01 05:00:00,110365.95544676637,106628.54550083613,114268.32726911728
