ds,yhat,yhat_lower,yhat_upper
2017-05-01,14851.643992699002,13181.563253701755,16625.74296467405
2017-06-01,14182.97710813401,12446.117255043318,15893.988483409626
2017-07-01,16003.753631700984,14168.647421060265,17787.99008167475
2017-08-01,12694.691263244355,10956.319216950375,14444.637436886664
2017-09-01,11328.9728380968,9537.978857459939,13108.60823574104
2017-10-01,20469.339787386838,18636.016716699196,22336.582860847688
2017-11-01,13595.38462866025,11712.167830043796,15210.378544583587
2017-12-01,15061.845145765184,13353.79942750503,16776.896924204128
2018-01-01,16523.696737717324,14759.408755514885,18225.126541227823
2018-02-01,11978.13804283775,10160.371958121703,13750.70262398037
2018-03-01,13054.950390604137,11299.713935018,14770.286672464115
2018-04-01,16296.999790168225,14542.550519791002,18100.92145839973
2018-05-01,15122.903525383523,13265.616959577797,16969.0471843479
2018-06-01,13852.760603469596,12066.717473886472,15774.217582086254
2018-07-01,18489.672708899525,16727.541558580342,20416.024116549965
2018-08-01,13223.037461728734,11341.681986870439,15016.814292903755
2018-09-01,12170.957830351916,10272.406913921499,13912.941774537323
2018-10-01,20724.02442604852,19011.986220955965,22493.834020366172
2018-11-01,14412.30244673404,12670.257809380664,16050.655848111124
2018-12-01,17267.18672872348,15543.31654379993,19131.666651921776
2019-01-01,17077.433238814,15274.963011449774,18878.717351558018
2019-02-01,12384.405047348502,10621.677444724026,14198.145726490746
2019-03-01,13342.371828785846,11777.385828676212,15085.00873982279
2019-04-01,18930.221194719557,17188.85169182733,20800.675010658313
2019-05-01,15363.339667293516,13675.815339253235,17233.366031554957
2019-06-01,13544.7024769929,11736.547110033722,15331.438475860712
2019-07-01,20982.880714039966,19200.446451619606,22744.717195781002
2019-08-01,13731.421455169066,11841.20543029118,15454.841800010956
2019-09-01,13006.59685500746,11219.018270427161,14830.075049748815
2019-10-01,20981.94893268076,19243.998804735333,22854.674391632157
2019-11-01,15256.186088229204,13573.415804357335,16966.47728878036
2019-12-01,19465.89720821689,17756.29807575344,21252.97238144293
2020-01-01,17603.154981741256,15865.511982950244,19348.04775136231
2020-02-01,12785.422207795844,11062.98280380841,14544.886105781474
2020-03-01,16181.098736538657,14510.98805959708,17951.729919438087
2020-03-02,19152.71287085067,17310.99860415248,20830.70034267514
2020-03-03,22538.94150316775,20836.59909092935,24389.420920757326
2020-03-04,26293.328205828526,24386.388066025138,28125.88315064998
2020-03-05,30358.60130172132,28582.065727006153,32165.97607819544
2020-03-06,34667.73096911494,32771.27809734966,36413.00162917673
2020-03-07,39145.23205834472,37554.98205152947,40930.86816570059
2020-03-08,43708.68388005631,42071.23800289671,45513.706037360746
2020-03-09,48270.43300750468,46427.89275047614,50064.575618056944
2020-03-10,52739.44073314793,51011.747998131905,54452.8441751231
2020-03-11,57023.23333317948,55306.631179441254,58938.780716576555
2020-03-12,61029.91080146476,59233.85930159067,62775.732609130486
2020-03-13,64670.16827078581,62921.3530494216,66504.41085014331
2020-03-14,67859.28397238532,66075.39621846606,69567.40696292557
2020-03-15,70519.02829819752,68762.66851420638,72086.46912953763
2020-03-16,72579.45029934947,70777.68521088238,74259.38980544305
2020-03-17,73980.50073339799,72287.00088977268,75743.19215197682
2020-03-18,74673.45448829663,72925.39008057244,76457.68579801434
2020-03-19,74622.09977160035,72805.16637997021,76440.75668062705
2020-03-20,73803.66674682635,72017.91791261746,75542.4277139024
2020-03-21,72209.47419696387,70524.70315584968,73913.60475018252
2020-03-22,69845.27915791568,68113.45862079473,71579.87871708936
2020-03-23,66731.32114111751,64996.597497069306,68564.05977651138
2020-03-24,62902.05939967613,61055.17022048272,64714.87881094522
2020-03-25,58405.608527726654,56639.18580432664,60185.455753303744
2020-03-26,53302.88436246247,51512.71708349962,55164.078138345285
2020-03-27,47666.47853196415,45880.87344477729,49431.49100422943
2020-03-28,41579.28591695764,39827.051889210416,43283.59657993121
2020-03-29,35132.9146417149,33338.99895145492,36851.055800930866
2020-03-30,28425.912862879115,26642.47883120222,30184.574663715306
2020-03-31,21561.850487394426,19819.873161407624,23209.149183987236
