ds,yhat,yhat_lower,yhat_upper
2017-05-01,14851.643992699002,13040.221950508094,16581.74697327274
2017-06-01,14182.97710813401,12429.138862126822,15874.004696924787
2017-07-01,16003.753631700984,14322.58225601734,17756.71601365378
2017-08-01,12694.691263244355,10913.567458097961,14505.365611904977
2017-09-01,11328.9728380968,9470.191857486774,13161.849729743546
2017-10-01,20469.339787386838,18635.049924026007,22289.385159772333
2017-11-01,13595.38462866025,11931.276371971646,15365.956200551253
2017-12-01,15061.845145765184,13249.293754341717,16894.13874038172
2018-01-01,16523.696737717324,14868.365172031836,18280.252064868164
2018-02-01,11978.13804283775,10187.192334480429,13785.490362252149
2018-03-01,13054.950390604137,11364.515469868646,14686.516896560885
2018-04-01,16296.999790168225,14524.23706078961,18190.608312303153
2018-05-01,15122.903525383523,13311.04235390634,16891.78865148143
2018-06-01,13852.760603469596,12046.373274326546,15526.882978716381
2018-07-01,18489.672708899525,16801.246338105644,20279.673878369147
2018-08-01,13223.037461728734,11376.883309007417,14878.161244468676
2018-09-01,12170.957830351916,10502.879019350388,14006.080390612133
2018-10-01,20724.02442604852,18959.06079668842,22594.296390265863
2018-11-01,14412.30244673404,12704.808411124637,16231.465936451237
2018-12-01,17267.18672872348,15441.588662552937,18928.26281743502
2019-01-01,17077.433238814,15244.142963419285,18797.771977524124
2019-02-01,12384.405047348502,10639.397857852497,14069.223058984115
2019-03-01,13342.371828785846,11501.573058558406,15151.57549848041
2019-04-01,18930.221194719557,17259.251800805097,20582.07049563938
2019-05-01,15363.339667293516,13626.757667950193,17095.50024529981
2019-06-01,13544.7024769929,11843.225494611233,15270.633737709784
2019-07-01,20982.880714039966,19132.370900168957,22773.131510067462
2019-08-01,13731.421455169066,12092.532219370883,15394.871801341482
2019-09-01,13006.59685500746,11278.240693111024,14705.304214583904
2019-10-01,20981.94893268076,19166.00614516495,22604.500097170592
2019-11-01,15256.186088229204,13499.797624827554,17069.081400692623
2019-12-01,19465.89720821689,17682.575709781227,21281.964672442267
2020-01-01,17603.154981741256,15854.357152302824,19350.12633893204
2020-02-01,12785.422207795844,11053.91726890201,14663.677819710474
2020-03-01,16181.098736538657,14491.820868055956,17983.931778095528
2020-03-02,19152.71287085067,17354.318674006543,20987.29345678421
2020-03-03,22538.94150316775,20820.967469464147,24242.03987305428
2020-03-04,26293.328205828526,24661.65711933614,27997.357369288944
2020-03-05,30358.60130172132,28627.18176670818,32143.309904814654
2020-03-06,34667.73096911494,32821.352541193875,36433.36401545242
2020-03-07,39145.23205834472,37410.68806671488,40842.005036470044
2020-03-08,43708.68388005631,41985.96440108008,45484.81150239692
2020-03-09,48270.43300750468,46531.09358015934,50184.62008999596
2020-03-10,52739.44073314793,50992.64613958719,54514.772731883684
2020-03-11,57023.23333317948,55198.6348947066,58751.370889410515
2020-03-12,61029.91080146476,59307.38156282926,62716.069896903085
2020-03-13,64670.16827078581,62909.23780957463,66444.79313779552
2020-03-14,67859.28397238532,66150.22873674837,69705.47510937059
2020-03-15,70519.02829819752,68697.67882605125,72328.7757879352
2020-03-16,72579.45029934947,70818.02839415314,74192.76933291338
2020-03-17,73980.50073339799,72223.1895594009,75682.96452743758
2020-03-18,74673.45448829663,72836.97879387146,76514.80421307439
2020-03-19,74622.09977160035,72832.87276852537,76388.63965109814
2020-03-20,73803.66674682635,72062.94462806844,75637.37305001376
2020-03-21,72209.47419696387,70424.53320945562,74018.71655387653
2020-03-22,69845.27915791568,68045.94683687469,71538.07775322114
2020-03-23,66731.32114111751,64985.761408349514,68481.5128833454
2020-03-24,62902.05939967613,61222.207312411614,64676.39685347257
2020-03-25,58405.608527726654,56637.4937565958,60104.391946973905
2020-03-26,53302.88436246247,51578.775140304504,55029.61051355787
2020-03-27,47666.47853196415,45985.91285318773,49422.044631030156
2020-03-28,41579.28591695764,39970.56478078606,43427.75284094006
2020-03-29,35132.9146417149,33474.9287054447,36931.73904569397
2020-03-30,28425.912862879115,26720.560288715868,30278.396100998085
2020-03-31,21561.850487394426,19700.616134511318,23286.245339101224
