ds,yhat,yhat_lower,yhat_upper
2017-06-01,13796.250247670796,12047.459028432875,15557.008456005107
2017-07-01,15731.820172849457,13988.021997599197,17386.962985753606
2017-08-01,12612.44394357243,10987.524108953508,14340.84603744229
2017-09-01,11437.071509391226,9902.46917431917,13051.37517874952
2017-10-01,20743.793390264407,19104.96628407723,22432.26873808849
2017-11-01,13952.654843974218,12165.463544569495,15524.898644930483
2017-12-01,15400.579920359402,13761.367663003584,17099.17282252233
2018-01-01,16749.49739052865,15056.113634809968,18292.3288302482
2018-02-01,12015.959935179759,10379.530964683652,13710.16194215156
2018-03-01,13216.469789881832,11554.367083031933,14835.987174816782
2018-04-01,15600.49352525148,13938.880580044275,17340.88525023396
2018-05-01,17211.708867962516,15541.8136963339,18867.512133940123
2018-06-01,13840.593413010709,12016.574144550514,15513.239130647169
2018-07-01,18491.371415692996,16871.365470318186,20054.02918307952
2018-08-01,13225.484282593163,11565.31128751774,14842.6272610822
2018-09-01,12173.93423998911,10543.352456947852,13945.56144531011
2018-10-01,20730.68071240221,19046.288484573965,22325.461814637416
2018-11-01,14413.990758201388,12754.389878363841,16074.835439194809
2018-12-01,17267.433970277467,15533.472487254709,18930.35546437011
2019-01-01,17076.100159166697,15412.505066665795,18814.420483082966
2019-02-01,12380.748058694337,10759.51200198444,14027.865676517438
2019-03-01,13352.885202739611,11752.50225272942,14988.49529506703
2019-04-01,19627.736077131416,18050.850043620685,21264.718959362053
2019-05-01,14747.039111766508,13087.624465824701,16577.391291378764
2019-06-01,13944.347419583482,12205.116892390317,15473.367396024734
2019-07-01,21263.158262774974,19715.267708636413,22999.71428103266
2019-08-01,13812.785009482712,12155.612734559341,15431.035285121277
2019-09-01,12895.621780917432,11235.639174696003,14544.741813846176
2019-10-01,20713.687817186248,19075.436748620596,22448.706736384895
2019-11-01,14899.748413062433,13260.180303093131,16547.369092169334
2019-12-01,19131.61213391156,17546.26038725731,20811.629247847806
2020-01-01,17382.445437400587,15780.52642986431,18975.056186910762
2020-02-01,12746.475895107676,11025.884695452538,14491.15503270631
2020-03-01,16008.022412067858,14372.710345605245,17671.03217183689
2020-03-02,19089.228311634422,17362.817819217933,20745.316503063208
2020-03-03,22762.81897675419,21182.03291712526,24506.555321868545
2020-03-04,27006.424455298555,25417.79549539921,28627.260370859574
2020-03-05,31781.951903849276,30104.46090478454,33321.7282568219
2020-03-06,37035.53586048751,35351.87079123836,38694.9086965371
2020-03-07,42697.85677880814,41008.47680744612,44269.351527646635
2020-03-08,48684.83544260844,47039.2082535876,50331.43377603264
2020-03-09,54898.702305180515,53238.78018601284,56552.16141527654
2020-03-10,61229.4319555368,59600.60956088677,63019.31146888918
2020-03-11,67556.52401051724,65862.42288773532,69235.18775799636
2020-03-12,73751.10297566361,72153.09005074315,75456.04355612723
2020-03-13,79678.3012256317,77987.42511682131,81282.42398717372
2020-03-14,85199.88143651278,83545.2900686824,86891.3992402169
2020-03-15,90177.04776365586,88357.53988055939,91892.70338208738
2020-03-16,94473.38898959837,92838.17195353055,96115.82639844943
2020-03-17,97957.89194270271,96353.08767419103,99643.89174931298
2020-03-18,100507.95985783159,98917.97644503752,102245.53062982413
2020-03-19,102012.36814012214,100334.7254172009,103772.52697183327
2020-03-20,102374.08929553002,100690.37263575832,104083.47397518749
2020-03-21,101512.91966505836,99876.07293730396,103308.5507486965
2020-03-22,99367.84306778961,97681.25868519527,100965.08746320597
2020-03-23,95899.0705044263,94282.65622968259,97500.70627508784
2020-03-24,91089.70064573895,89298.24792597909,92848.01084100043
2020-03-25,84946.95283621861,83286.01777350491,86598.97058782235
2020-03-26,77502.93265449339,75890.41904371536,79106.52091420791
2020-03-27,68814.89952507876,67120.22591171827,70467.75161418704
2020-03-28,58965.016275871945,57413.23191146238,60670.249645124364
2020-03-29,48059.5716602689,46346.856236874475,49650.976925930874
2020-03-30,36227.678467262274,34590.76699717488,37945.431188774106
2020-03-31,23619.46166492116,21951.168953070453,25235.71159264019
