ds,yhat,yhat_lower,yhat_upper
2018-08-01 13:00:00,14559.518636445378,10660.129044184818,18650.372394645765
2018-08-01 14:00:00,14619.35665925722,10681.17700787669,18400.00095963719
2018-08-01 15:00:00,14679.19468205468,10496.168691468398,18653.58643711521
2018-08-01 16:00:00,14739.032704863,10812.250155001233,18800.181846814274
2018-08-01 17:00:00,14798.870727763078,11037.342870043847,18364.05054123127
2018-08-01 18:00:00,14858.708750753594,11006.243527576624,18738.418146048654
2018-08-01 19:00:00,14918.546773795195,10920.251479995575,19006.878141417088
2018-08-01 20:00:00,14978.384796921071,11091.497706437103,18947.478845327358
2018-08-01 21:00:00,15038.222819959434,10900.5036821577,18619.723750264926
2018-08-01 22:00:00,15098.060843048637,10928.918772090341,18808.458032634684
2018-08-01 23:00:00,15157.89886604028,11260.447429591248,19167.041123117422
2018-08-02 00:00:00,15217.73688900877,11543.53210772831,18930.564537072787
2018-08-02 01:00:00,15277.574912025157,11174.31676279289,19244.74524299968
2018-08-02 02:00:00,15337.412934934078,11612.63841054522,19116.863733830196
2018-08-02 03:00:00,15397.250957843002,11403.91883214548,19257.395806837972
2018-08-02 04:00:00,15457.088980617407,11699.377620651678,19320.421889685676
2018-08-02 05:00:00,15516.927003343868,11541.919054572574,19417.118791352874
2018-08-02 06:00:00,15576.76502617556,11631.269833309647,19136.870575705874
2018-08-02 07:00:00,15636.603048999099,11661.137474215222,19769.813885132426
2018-08-02 08:00:00,15696.441071837946,11999.875908729518,19580.767010205014
2018-08-02 09:00:00,15756.279094781627,11766.107248665028,19322.162959820274
2018-08-02 10:00:00,15816.1171176788,11875.67928364174,19908.230007230977
2018-08-02 11:00:00,15875.955140533764,11760.570339936545,19762.330237260205
2018-08-02 12:00:00,15935.79316334922,12250.438562419939,19785.37941642292
2018-08-02 13:00:00,15995.631186087843,12186.915574265482,19723.799102881396
2018-08-02 14:00:00,16055.469208803548,12396.520078023435,19820.528248912004
2018-08-02 15:00:00,16115.307231573188,12142.841819908459,20050.760823316075
2018-08-02 16:00:00,16175.145254238758,12529.382048975782,20099.321283621754
2018-08-02 17:00:00,16234.983276904328,12322.560570820864,20025.468811022478
2018-08-02 18:00:00,16294.8212995699,12591.382502894325,20405.320017034028
2018-08-02 19:00:00,16354.659322235468,12797.714120351737,20005.098049414355
2018-08-02 20:00:00,16414.49734490104,12580.439304612646,20264.167521810683
2018-08-02 21:00:00,16474.33536756661,12897.090380887706,20329.40252463415
2018-08-02 22:00:00,16534.173390232183,12725.365319751534,20414.674080498426
2018-08-03 22:00:00,17970.285934205873,14070.799045515098,21924.878966112832
2018-08-04 22:00:00,19406.398478179563,15786.24763892776,23445.25287975675
2018-08-05 22:00:00,20842.511022153256,16867.55720116473,24736.164498354847
2018-08-06 22:00:00,22278.62356612695,18328.93470368229,26054.825148795288
2018-08-07 22:00:00,23714.736110100643,19798.69239324478,27551.867980994855
2018-08-08 22:00:00,25150.84865407433,21494.069335783308,28980.25738471511
2018-08-09 22:00:00,26586.96119804802,22642.755815946402,30461.556314929785
2018-08-10 22:00:00,28023.073742021712,24298.70033609507,31952.517500680096
2018-08-11 22:00:00,29459.186285995405,25502.97043238889,33389.20008380978
2018-08-12 22:00:00,30895.29882996909,27016.407084467486,34351.67937992221
2018-08-13 22:00:00,32331.411373942785,28498.630049790758,36292.458920865916
2018-08-14 22:00:00,33767.52391791647,29714.53357351921,37696.271632342345
2018-08-15 22:00:00,35203.636461890164,31523.701823360778,39107.15119680386
2018-08-16 22:00:00,36639.74900586386,32713.411821056234,40296.03161537002
2018-08-17 22:00:00,38075.861549837544,34521.06529734842,42322.771729905224
2018-08-18 22:00:00,39511.974093811245,35563.33393554443,43383.466471817876
2018-08-19 22:00:00,40948.08663778493,36953.98447093426,44690.12659636209
2018-08-20 22:00:00,42384.19918175863,38478.32387497566,46102.04324090897
2018-08-21 22:00:00,43820.31172573232,39820.1758641581,47552.29567060147
2018-08-22 22:00:00,45256.424269706,41434.95907579913,49118.52186391644
2018-08-23 22:00:00,46692.5368136797,42796.3692316445,50418.74806864497
2018-08-24 22:00:00,48128.64935765339,44323.70180234331,51980.36911688833
2018-08-25 22:00:00,49564.761901627084,45584.29035780133,53478.521141318604
2018-08-26 22:00:00,51000.87444560077,46976.301647464454,55046.471125599855
2018-08-27 22:00:00,52436.98698957447,48493.28648049145,56287.15683272049
2018-08-28 22:00:00,53873.09953354816,50122.28487137977,57785.665865236086
2018-08-29 22:00:00,55309.21207752184,51337.60856445738,58959.69043356731
2018-08-30 22:00:00,56745.324621495536,52739.49850138704,60611.81978118436
2018-08-31 22:00:00,58181.43716546923,54469.640076554686,62276.71514084434
2018-09-01 22:00:00,59617.54970944291,55571.22228909231,63115.90243061982
