ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10390.884711342085,18004.509403566284
2018-08-01 13:00:00,14442.634000201642,10587.328370340616,18296.8432079679
2018-08-01 14:00:00,14507.755066682266,10686.115194557096,18292.860196913825
2018-08-01 15:00:00,14572.876134713419,10948.369422039319,18367.28012089622
2018-08-01 16:00:00,14637.997202110742,10944.801566863309,18491.009854770917
2018-08-01 17:00:00,14703.118267686943,10898.046578364609,18510.970769668147
2018-08-01 18:00:00,14768.239332549883,10864.659012901864,18761.642214685886
2018-08-01 19:00:00,14833.360398076962,10686.113067196635,18794.15532993765
2018-08-01 20:00:00,14898.481463604043,10909.452260117632,18583.23889285847
2018-08-01 21:00:00,14963.602529140793,11019.282913894078,18530.39990260894
2018-08-01 22:00:00,15028.72359649984,11182.398140010035,18705.374692258807
2018-08-01 23:00:00,15093.844663399106,11233.451318549962,19121.2782458067
2018-08-02 00:00:00,15158.965729273008,11234.096244692138,19157.767854490816
2018-08-02 01:00:00,15224.086795682832,11332.584635364563,19139.282052208706
2018-08-02 02:00:00,15289.207861855126,11542.652615559255,19249.635331228892
2018-08-02 03:00:00,15354.328927538345,11567.329326468534,19282.253398166828
2018-08-02 04:00:00,15419.449993449474,11428.30728575801,19435.391718359515
2018-08-02 05:00:00,15484.571057831841,11569.785919607175,19185.96471813051
2018-08-02 06:00:00,15549.69212396997,11659.086273526496,19369.325125818683
2018-08-02 07:00:00,15614.813188023083,11786.055912880764,19489.119212187416
2018-08-02 08:00:00,15679.934250634158,11886.649463977232,19667.07649204429
2018-08-02 09:00:00,15745.055313245233,11831.262366576633,19565.567091059318
2018-08-02 10:00:00,15810.176374602454,11871.055251005617,19868.346538437483
2018-08-02 11:00:00,15875.297436763629,12237.37617949997,19717.914459809646
2018-08-02 12:00:00,15940.418497042314,11918.575049391724,19841.696996286126
2018-08-02 13:00:00,16005.539559011835,12423.61977247215,19717.403947298328
2018-08-02 14:00:00,16070.660621109879,11948.002046018522,19541.34326968391
2018-08-02 15:00:00,16135.781681934506,12183.33713427123,20088.709133876764
2018-08-02 16:00:00,16200.902741896381,12466.525120165723,20146.814086042894
2018-08-02 17:00:00,16266.023801858255,12279.61563540171,20125.621108789455
2018-08-02 18:00:00,16331.144861820128,12550.787606192633,20008.89782384821
2018-08-02 19:00:00,16396.265921782004,12533.090811137647,20110.936378336548
2018-08-02 20:00:00,16461.38698174388,12747.292407088693,20319.449586361083
2018-08-02 21:00:00,16526.50804170575,12633.06472886575,20318.772918337898
2018-08-02 22:00:00,16591.629101667626,12780.168773201332,20316.351952104993
2018-08-03 22:00:00,18154.534540752604,14325.834199756559,22146.376125599192
2018-08-04 22:00:00,19717.439979837585,15623.074793274165,23411.55246044881
2018-08-05 22:00:00,21280.345418922563,17236.723391204563,25383.645302195713
2018-08-06 22:00:00,22843.250858007545,19376.15226583104,26983.235502785185
2018-08-07 22:00:00,24406.15629709252,20527.11609506451,28386.055955073214
2018-08-08 22:00:00,25969.0617361775,22301.79664955827,29957.939858508995
2018-08-09 22:00:00,27531.967175262478,23491.706027487733,31230.51724327886
2018-08-10 22:00:00,29094.87261434746,25271.937765140785,32853.82861084072
2018-08-11 22:00:00,30657.778053432437,26797.269762696313,34343.72134763004
2018-08-12 22:00:00,32220.68349251742,28466.408890246053,35961.15360739978
2018-08-13 22:00:00,33783.5889316024,29843.213341881143,37649.66879923528
2018-08-14 22:00:00,35346.494370687375,31504.159402306053,39179.49690648868
2018-08-15 22:00:00,36909.39980977236,33211.19941516227,40747.43648790959
2018-08-16 22:00:00,38472.30524885734,34366.03613258406,42327.09064160423
2018-08-17 22:00:00,40035.21068794231,35978.34914241336,43972.71719218441
2018-08-18 22:00:00,41598.1161270273,37876.68399695583,45469.59104810897
2018-08-19 22:00:00,43161.02156611227,39340.14037997736,47259.45796725546
2018-08-20 22:00:00,44723.92700519725,40838.39053691979,48694.2580918753
2018-08-21 22:00:00,46286.83244428223,42482.5105133795,49924.867339530814
2018-08-22 22:00:00,47849.737883367205,44244.9541854418,51775.68232570009
2018-08-23 22:00:00,49412.64332245219,45363.048978538005,53176.93752795747
2018-08-24 22:00:00,50975.54876153717,47165.154671826596,54929.26762068844
2018-08-25 22:00:00,52538.454200622145,48579.50542935565,56476.95684302088
2018-08-26 22:00:00,54101.35963970712,49961.15070380865,57898.94193794804
2018-08-27 22:00:00,55664.26507879211,51588.838064894895,59497.52501765681
2018-08-28 22:00:00,57227.170517877086,53511.60993121143,61179.62372201981
2018-08-29 22:00:00,58790.075956962064,55075.82790519512,62575.55189709318
2018-08-30 22:00:00,60352.98139604705,56634.19663073215,64123.32411727872
2018-08-31 22:00:00,61915.88683513203,58247.881199610754,65613.05353394526
2018-09-01 22:00:00,63478.792274217005,59671.990307697895,67396.57377242309
