ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10981.803348067704,18037.91670445279
2018-08-01 13:00:00,14442.634000201642,10749.422340633446,18095.713587042083
2018-08-01 14:00:00,14507.755066682266,10814.662687891107,18523.893639193404
2018-08-01 15:00:00,14572.876134713419,10720.796665002552,18434.715992727586
2018-08-01 16:00:00,14637.997202110742,10841.036633057216,18469.351146528057
2018-08-01 17:00:00,14703.118267686943,11058.77587324863,18858.039673989508
2018-08-01 18:00:00,14768.239332549883,10557.751141904653,18458.79146252212
2018-08-01 19:00:00,14833.360398076962,11202.840956934695,18232.19382561421
2018-08-01 20:00:00,14898.481463604043,10933.039037009392,18547.67145865354
2018-08-01 21:00:00,14963.602529140793,11370.581777513673,19059.018222622522
2018-08-01 22:00:00,15028.72359649984,11169.879159813574,19211.473047427262
2018-08-01 23:00:00,15093.844663399106,11360.967592942083,18899.282388655665
2018-08-02 00:00:00,15158.965729273008,11095.791528260517,18963.52716590297
2018-08-02 01:00:00,15224.086795682832,11251.7155636605,19222.432690329853
2018-08-02 02:00:00,15289.207861855126,11624.849885535905,19184.469879815602
2018-08-02 03:00:00,15354.328927538345,11744.099811051876,19627.560336844013
2018-08-02 04:00:00,15419.449993449474,11693.368722485116,19187.436145090043
2018-08-02 05:00:00,15484.571057831841,11586.945979537439,19611.796254956935
2018-08-02 06:00:00,15549.69212396997,11570.285797815848,19488.36623654316
2018-08-02 07:00:00,15614.813188023083,11879.580175398562,19422.838793008712
2018-08-02 08:00:00,15679.934250634158,11926.694360981093,19452.456969377137
2018-08-02 09:00:00,15745.055313245233,12006.04465096645,19527.788527005716
2018-08-02 10:00:00,15810.176374602454,11715.787539833434,19601.303143908375
2018-08-02 11:00:00,15875.297436763629,11890.231733839528,19823.474205403876
2018-08-02 12:00:00,15940.418497042314,12123.58266340716,19972.94989786275
2018-08-02 13:00:00,16005.539559011835,12115.432691489334,19792.352965520695
2018-08-02 14:00:00,16070.660621109879,12299.484109218221,19760.919161372378
2018-08-02 15:00:00,16135.781681934506,11968.60684026216,19910.89440535995
2018-08-02 16:00:00,16200.902741896381,12294.403466618101,20123.15808660148
2018-08-02 17:00:00,16266.023801858255,12454.870429678798,20075.661760893257
2018-08-02 18:00:00,16331.144861820128,12505.3731483374,20266.85582049561
2018-08-02 19:00:00,16396.265921782004,12506.80080535322,20237.095400741448
2018-08-02 20:00:00,16461.38698174388,12451.522377460373,20136.63032919714
2018-08-02 21:00:00,16526.50804170575,12701.150809387555,20553.656171797356
2018-08-02 22:00:00,16591.629101667626,12355.704648555606,20000.623069974932
2018-08-03 22:00:00,18154.534540752604,14044.623004310708,22031.691325192693
2018-08-04 22:00:00,19717.439979837585,15857.912829722249,23590.728862708893
2018-08-05 22:00:00,21280.345418922563,17694.68536646439,24974.31941403816
2018-08-06 22:00:00,22843.250858007545,19012.119009245933,26582.219225174787
2018-08-07 22:00:00,24406.15629709252,20560.601674362355,28224.88967042889
2018-08-08 22:00:00,25969.0617361775,21819.814381491156,29522.12041725362
2018-08-09 22:00:00,27531.967175262478,23795.120762729457,31373.314105259935
2018-08-10 22:00:00,29094.87261434746,25395.593869000495,33150.12892633398
2018-08-11 22:00:00,30657.778053432437,26927.140501312468,34499.51008437337
2018-08-12 22:00:00,32220.68349251742,28200.51534230331,36134.503540889134
2018-08-13 22:00:00,33783.5889316024,29824.500726150687,37617.40622539934
2018-08-14 22:00:00,35346.494370687375,31597.062014740888,39252.2980146192
2018-08-15 22:00:00,36909.39980977236,33172.44789875554,40591.161693141206
2018-08-16 22:00:00,38472.30524885734,34477.59328005488,42282.95178645467
2018-08-17 22:00:00,40035.21068794231,36136.85568047696,43955.932414758696
2018-08-18 22:00:00,41598.1161270273,37973.325963809264,45803.366630779885
2018-08-19 22:00:00,43161.02156611227,39277.887311279934,46583.48298914035
2018-08-20 22:00:00,44723.92700519725,40777.87380140917,48726.13047409909
2018-08-21 22:00:00,46286.83244428223,42517.67162924758,50447.13787910349
2018-08-22 22:00:00,47849.737883367205,44080.62864766777,52040.57810090227
2018-08-23 22:00:00,49412.64332245219,45347.685302110396,53128.0411239541
2018-08-24 22:00:00,50975.54876153717,47099.469044664664,54704.336552870336
2018-08-25 22:00:00,52538.454200622145,48620.0741367449,56590.76849774646
2018-08-26 22:00:00,54101.35963970712,49830.69324637907,57773.985516680914
2018-08-27 22:00:00,55664.26507879211,51866.09802544703,59540.44712470445
2018-08-28 22:00:00,57227.170517877086,53436.190418248065,61123.634115044886
2018-08-29 22:00:00,58790.075956962064,55056.8067210455,62690.46227006331
2018-08-30 22:00:00,60352.98139604705,56434.96392553427,64369.862510487765
2018-08-31 22:00:00,61915.88683513203,58005.371208843484,65568.57601214644
2018-09-01 22:00:00,63478.792274217005,59694.648946927584,67080.56685183728
