ds,yhat,yhat_lower,yhat_upper
2018-08-01 13:00:00,14559.518636445378,11038.310114915823,18625.650853483457
2018-08-01 14:00:00,14619.35665925722,10834.662408445425,18389.47516259664
2018-08-01 15:00:00,14679.19468205468,10878.626628182685,18590.96391998585
2018-08-01 16:00:00,14739.032704863,10871.561671771711,18743.06194322491
2018-08-01 17:00:00,14798.870727763078,11021.924098792339,18718.064336700518
2018-08-01 18:00:00,14858.708750753594,10863.938609276567,18729.034144241607
2018-08-01 19:00:00,14918.546773795195,10936.474738527444,18814.478207167947
2018-08-01 20:00:00,14978.384796921071,11007.112459049911,19035.67315718453
2018-08-01 21:00:00,15038.222819959434,11014.37264716983,19324.041698388268
2018-08-01 22:00:00,15098.060843048637,11619.440203875214,18873.340162751796
2018-08-01 23:00:00,15157.89886604028,10896.248502181266,19029.137063161113
2018-08-02 00:00:00,15217.73688900877,11370.066078158081,18934.772261761384
2018-08-02 01:00:00,15277.574912025157,11564.051583039794,18847.005141637015
2018-08-02 02:00:00,15337.412934934078,11636.514546934724,19010.359561646277
2018-08-02 03:00:00,15397.250957843002,11459.49376731615,19351.16284103545
2018-08-02 04:00:00,15457.088980617407,11635.041617203176,19561.32853182716
2018-08-02 05:00:00,15516.927003343868,11542.251117490783,19408.32432169928
2018-08-02 06:00:00,15576.76502617556,11864.762457974704,19352.09405546346
2018-08-02 07:00:00,15636.603048999099,11984.250121641631,19898.909293041175
2018-08-02 08:00:00,15696.441071837946,12169.998614520791,19625.43455396005
2018-08-02 09:00:00,15756.279094781627,12058.04708976762,19632.267159190913
2018-08-02 10:00:00,15816.1171176788,12105.250211783192,19484.113488971423
2018-08-02 11:00:00,15875.955140533764,12035.578870795345,19680.138961238878
2018-08-02 12:00:00,15935.79316334922,12095.623025131299,20076.961628025576
2018-08-02 13:00:00,15995.631186087843,12065.03594904794,19642.4253419177
2018-08-02 14:00:00,16055.469208803548,12230.799211127189,20167.586176708162
2018-08-02 15:00:00,16115.307231573188,12286.629648077113,19990.618491771096
2018-08-02 16:00:00,16175.145254238758,12331.243552161754,20310.31229566482
2018-08-02 17:00:00,16234.983276904328,12347.893463180708,19740.352377114887
2018-08-02 18:00:00,16294.8212995699,12226.88445316545,20526.59896824315
2018-08-02 19:00:00,16354.659322235468,12388.335472132549,20126.069002179585
2018-08-02 20:00:00,16414.49734490104,12103.104064118541,19976.72699990716
2018-08-02 21:00:00,16474.33536756661,12606.961030930801,20220.150901388493
2018-08-02 22:00:00,16534.173390232183,12846.224803086247,20417.743563949363
2018-08-03 22:00:00,17970.285934205873,14117.821244496146,21780.42235284499
2018-08-04 22:00:00,19406.398478179563,15198.043797062846,23017.307001384237
2018-08-05 22:00:00,20842.511022153256,17220.71098342971,24827.20646197419
2018-08-06 22:00:00,22278.62356612695,18574.84096952041,26229.05405790085
2018-08-07 22:00:00,23714.736110100643,19976.5468594678,27436.345257171168
2018-08-08 22:00:00,25150.84865407433,21254.383251325817,28895.009155649474
2018-08-09 22:00:00,26586.96119804802,22594.153063189482,30453.63336327028
2018-08-10 22:00:00,28023.073742021712,24222.539768992647,32135.307850525718
2018-08-11 22:00:00,29459.186285995405,25767.717533884384,33262.390079360135
2018-08-12 22:00:00,30895.29882996909,27130.791444558854,34965.38478693378
2018-08-13 22:00:00,32331.411373942785,28266.81227895496,36069.47291377439
2018-08-14 22:00:00,33767.52391791647,29926.593158123284,37719.37755634894
2018-08-15 22:00:00,35203.636461890164,31048.340820247588,39071.072721488956
2018-08-16 22:00:00,36639.74900586386,32700.88419807975,40668.02448399309
2018-08-17 22:00:00,38075.861549837544,34441.47859500467,41968.79145637128
2018-08-18 22:00:00,39511.974093811245,35709.535009903804,43420.923574689674
2018-08-19 22:00:00,40948.08663778493,37397.3676254775,45191.416262630664
2018-08-20 22:00:00,42384.19918175863,38477.29872899171,46016.390274443605
2018-08-21 22:00:00,43820.31172573232,39603.12303235268,47774.322114351264
2018-08-22 22:00:00,45256.424269706,41338.74559937989,49309.949065191926
2018-08-23 22:00:00,46692.5368136797,42723.63849624721,50542.867428649195
2018-08-24 22:00:00,48128.64935765339,44165.873007228125,52208.02723914495
2018-08-25 22:00:00,49564.761901627084,45834.29297966562,53303.32512384775
2018-08-26 22:00:00,51000.87444560077,47326.91355932206,54957.45498782753
2018-08-27 22:00:00,52436.98698957447,48201.31400349814,56663.72337284181
2018-08-28 22:00:00,53873.09953354816,49579.46273970382,57650.35336377449
2018-08-29 22:00:00,55309.21207752184,51452.43818425561,59165.35941098528
2018-08-30 22:00:00,56745.324621495536,53002.50728483171,60656.04134153762
2018-08-31 22:00:00,58181.43716546923,54395.47995615824,62234.12456262108
2018-09-01 22:00:00,59617.54970944291,55831.790381877596,63347.08730068234
