ds,yhat,yhat_lower,yhat_upper
2017-06-01,13796.250247670796,12019.362292300175,15473.58338452306
2017-07-01,15731.820172849457,14113.306173824407,17382.426087448766
2017-08-01,12612.44394357243,10896.875826159025,14125.152825299576
2017-09-01,11437.071509391226,9729.044682800066,13074.053995752485
2017-10-01,20743.793390264407,19187.608818078028,22533.687425008462
2017-11-01,13952.654843974218,12296.621952398034,15474.605470440238
2017-12-01,15400.579920359402,13695.641148824507,17030.69256496688
2018-01-01,16749.49739052865,15205.762967163977,18437.54850883899
2018-02-01,12015.959935179759,10447.696894244018,13680.733902338048
2018-03-01,13216.469789881832,11498.132906407816,14853.045408222584
2018-04-01,15600.49352525148,13927.578747467283,17221.592437493004
2018-05-01,17211.708867962516,15653.463943186189,18902.192357327098
2018-06-01,13840.593413010709,12157.89611210417,15558.093301592235
2018-07-01,18491.371415692996,16856.846827222318,20012.01272503117
2018-08-01,13225.484282593163,11557.840934681697,14851.146006249373
2018-09-01,12173.93423998911,10496.513846430684,13844.111960203423
2018-10-01,20730.68071240221,18962.192222172533,22446.550462415602
2018-11-01,14413.990758201388,12675.545282003752,16053.506096454892
2018-12-01,17267.433970277467,15447.892193675849,18847.46078716022
2019-01-01,17076.100159166697,15328.153341968435,18712.97465131484
2019-02-01,12380.748058694337,10719.967608139583,14044.096354597212
2019-03-01,13352.885202739611,11730.21038818253,15001.400510279778
2019-04-01,19627.736077131416,17838.355946306325,21237.62282852642
2019-05-01,14747.039111766508,13140.648888470292,16397.44956364587
2019-06-01,13944.347419583482,12467.649601647412,15616.720980029764
2019-07-01,21263.158262774974,19499.656659497407,22862.930293392612
2019-08-01,13812.785009482712,12216.811421147058,15597.09209581574
2019-09-01,12895.621780917432,11128.685278669707,14609.250021698983
2019-10-01,20713.687817186248,19051.78783399282,22340.313286829598
2019-11-01,14899.748413062433,13300.434147416841,16592.05283488788
2019-12-01,19131.61213391156,17508.944268798718,20810.476755041465
2020-01-01,17382.445437400587,15731.385415026032,19059.1916856143
2020-02-01,12746.475895107676,11110.087285767506,14261.799457668692
2020-03-01,16008.022412067858,14404.548218534053,17642.736369373004
2020-03-02,19089.228311634422,17420.118162397997,20697.34525570957
2020-03-03,22762.81897675419,21094.586384768707,24405.18381857653
2020-03-04,27006.424455298555,25299.59228708931,28619.674137807582
2020-03-05,31781.951903849276,30130.362096177894,33490.91436793866
2020-03-06,37035.53586048751,35413.7281517737,38660.52275288614
2020-03-07,42697.85677880814,40876.06810850444,44344.29846213924
2020-03-08,48684.83544260844,47125.85313649899,50444.613566753396
2020-03-09,54898.702305180515,53346.76871404356,56488.20305872078
2020-03-10,61229.4319555368,59578.92078261256,62882.26579432197
2020-03-11,67556.52401051724,65854.83300405115,69258.79679569788
2020-03-12,73751.10297566361,72142.06136667715,75466.96282939623
2020-03-13,79678.3012256317,78066.0383058949,81316.57363013881
2020-03-14,85199.88143651278,83663.42946367111,86781.85209072266
2020-03-15,90177.04776365586,88401.92675723936,91864.59077499733
2020-03-16,94473.38898959837,92878.97766330269,96268.8311058204
2020-03-17,97957.89194270271,96161.86477902785,99605.9658768895
2020-03-18,100507.95985783159,98835.9578448713,102215.71709631548
2020-03-19,102012.36814012214,100339.60076963686,103623.08176937026
2020-03-20,102374.08929553002,100695.33321418679,103939.79385553046
2020-03-21,101512.91966505836,99718.17493328109,103266.30131259133
2020-03-22,99367.84306778961,97711.46891269424,101017.91299548392
2020-03-23,95899.0705044263,94210.04512144194,97511.72081734988
2020-03-24,91089.70064573895,89440.98666329784,92754.71068097054
2020-03-25,84946.95283621861,83167.72405973649,86678.42045245481
2020-03-26,77502.93265449339,75849.03473675287,79273.58434023579
2020-03-27,68814.89952507876,67101.65234827995,70478.68838301889
2020-03-28,58965.016275871945,57280.14754138841,60645.34703917445
2020-03-29,48059.5716602689,46310.91075791364,49743.208051365946
2020-03-30,36227.678467262274,34580.540163021615,37945.090329649094
2020-03-31,23619.46166492116,22064.98430319171,25304.817168063215
