ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10497.905654485377,18333.153115505043
2018-08-01 13:00:00,14442.634000201642,10438.197745322468,18255.64038555479
2018-08-01 14:00:00,14507.755066682266,10775.643694271186,18225.5861204014
2018-08-01 15:00:00,14572.876134713419,10523.126934245754,18354.27681725931
2018-08-01 16:00:00,14637.997202110742,10645.807480393702,18576.717514395536
2018-08-01 17:00:00,14703.118267686943,11097.388299032678,18467.954809415995
2018-08-01 18:00:00,14768.239332549883,11115.391828584561,18463.808992467868
2018-08-01 19:00:00,14833.360398076962,10967.29862714191,18625.942409074076
2018-08-01 20:00:00,14898.481463604043,11118.814193549535,18788.739860390357
2018-08-01 21:00:00,14963.602529140793,11091.95515736467,18641.74547605846
2018-08-01 22:00:00,15028.72359649984,11473.784664210172,18939.239493475136
2018-08-01 23:00:00,15093.844663399106,11334.242183645896,19115.14194312083
2018-08-02 00:00:00,15158.965729273008,11266.999177031052,19022.520577867854
2018-08-02 01:00:00,15224.086795682832,11443.139271292222,18933.361377178884
2018-08-02 02:00:00,15289.207861855126,11712.560180147537,19053.762584446926
2018-08-02 03:00:00,15354.328927538345,11371.068025709836,19132.716296842722
2018-08-02 04:00:00,15419.449993449474,11542.800456493313,19168.438140248025
2018-08-02 05:00:00,15484.571057831841,11858.619123552951,19659.35803795209
2018-08-02 06:00:00,15549.69212396997,11447.829439084848,19607.63521630734
2018-08-02 07:00:00,15614.813188023083,11755.677086724409,19325.8378017472
2018-08-02 08:00:00,15679.934250634158,11873.837845267826,19839.866502329525
2018-08-02 09:00:00,15745.055313245233,12006.402502738447,19418.295884252217
2018-08-02 10:00:00,15810.176374602454,11779.444170762617,20167.337485187727
2018-08-02 11:00:00,15875.297436763629,12313.620977915383,20118.953080869607
2018-08-02 12:00:00,15940.418497042314,12217.879330128619,19789.607385654734
2018-08-02 13:00:00,16005.539559011835,11893.541165017401,19852.84786243667
2018-08-02 14:00:00,16070.660621109879,12214.690578744048,19571.197771354513
2018-08-02 15:00:00,16135.781681934506,12312.75068938662,20045.795457723423
2018-08-02 16:00:00,16200.902741896381,12344.221217652685,20216.058894763824
2018-08-02 17:00:00,16266.023801858255,12350.58207702187,20463.431992667316
2018-08-02 18:00:00,16331.144861820128,12321.906169188404,20162.053815707004
2018-08-02 19:00:00,16396.265921782004,12580.761161799423,20057.9847804654
2018-08-02 20:00:00,16461.38698174388,12606.170732493369,20349.294770754383
2018-08-02 21:00:00,16526.50804170575,12411.340980297227,20185.014429398074
2018-08-02 22:00:00,16591.629101667626,12681.148698979854,20525.180609868752
2018-08-03 22:00:00,18154.534540752604,14446.060741886928,21925.21525633817
2018-08-04 22:00:00,19717.439979837585,15789.102130668849,23606.727645674073
2018-08-05 22:00:00,21280.345418922563,17427.419890536294,24985.477352878883
2018-08-06 22:00:00,22843.250858007545,18761.205507509363,26621.41878836114
2018-08-07 22:00:00,24406.15629709252,20354.10646183327,28264.61382074674
2018-08-08 22:00:00,25969.0617361775,22326.192727045523,29741.771881087006
2018-08-09 22:00:00,27531.967175262478,23467.7384436467,31287.846228529208
2018-08-10 22:00:00,29094.87261434746,25172.278759434976,33083.46536515561
2018-08-11 22:00:00,30657.778053432437,26793.88501434605,34565.09075053756
2018-08-12 22:00:00,32220.68349251742,28421.52630873976,36261.89858561912
2018-08-13 22:00:00,33783.5889316024,30022.642146909497,37736.47228540743
2018-08-14 22:00:00,35346.494370687375,31565.785833172667,39221.60039858369
2018-08-15 22:00:00,36909.39980977236,33169.776666761376,40665.983582459434
2018-08-16 22:00:00,38472.30524885734,34613.72085092201,42377.8406927993
2018-08-17 22:00:00,40035.21068794231,35927.93131611697,43915.086485542546
2018-08-18 22:00:00,41598.1161270273,37783.77059236674,45481.07476542936
2018-08-19 22:00:00,43161.02156611227,39273.92291881367,47018.82913482888
2018-08-20 22:00:00,44723.92700519725,41095.93081000834,48703.56645328016
2018-08-21 22:00:00,46286.83244428223,42493.54661648512,49842.43847457144
2018-08-22 22:00:00,47849.737883367205,43883.55652612614,51358.004458273805
2018-08-23 22:00:00,49412.64332245219,45479.19258519356,53242.76657091583
2018-08-24 22:00:00,50975.54876153717,47069.46276020449,54608.759865015854
2018-08-25 22:00:00,52538.454200622145,48633.760225989485,56732.360276538595
2018-08-26 22:00:00,54101.35963970712,50169.68956113001,58072.4992102275
2018-08-27 22:00:00,55664.26507879211,51917.66164378742,59529.94057306828
2018-08-28 22:00:00,57227.170517877086,53319.35201907986,60988.832214446506
2018-08-29 22:00:00,58790.075956962064,54820.77327483675,62888.81562149229
2018-08-30 22:00:00,60352.98139604705,56479.28474047839,64399.46895994187
2018-08-31 22:00:00,61915.88683513203,58159.31038488335,65865.54368239306
2018-09-01 22:00:00,63478.792274217005,59704.339260558365,67354.2779529186
