ds,yhat,yhat_lower,yhat_upper
2017-05-01,14851.643992699002,13069.03401128024,16767.594631621538
2017-06-01,14182.97710813401,12426.981588411265,15904.062745171921
2017-07-01,16003.753631700984,14182.893632170815,17748.018099335022
2017-08-01,12694.691263244355,10870.814310637881,14310.6380038808
2017-09-01,11328.9728380968,9557.429421424999,13093.85475135937
2017-10-01,20469.339787386838,18856.476511540204,22338.53119691683
2017-11-01,13595.38462866025,11826.33669889402,15285.344539238511
2017-12-01,15061.845145765184,13290.956807705854,16807.427715575814
2018-01-01,16523.696737717324,14825.616632140122,18269.881970384293
2018-02-01,11978.13804283775,10118.479621452678,13708.093464896323
2018-03-01,13054.950390604137,11314.116580893344,14849.874598057975
2018-04-01,16296.999790168225,14547.147190753865,18125.060089168925
2018-05-01,15122.903525383523,13327.396694355763,16819.23400465933
2018-06-01,13852.760603469596,12031.095425709389,15586.865556343242
2018-07-01,18489.672708899525,16728.960458830217,20316.164720903507
2018-08-01,13223.037461728734,11510.502471322541,14965.702042851575
2018-09-01,12170.957830351916,10531.746344530296,13877.354419228313
2018-10-01,20724.02442604852,19067.735408361088,22432.707108927898
2018-11-01,14412.30244673404,12611.008857816549,16222.130655233532
2018-12-01,17267.18672872348,15445.679752980172,19041.74441170941
2019-01-01,17077.433238814,15338.452924306606,18751.79654080265
2019-02-01,12384.405047348502,10498.470643805147,14309.41863570278
2019-03-01,13342.371828785846,11514.23328432551,15032.150002010792
2019-04-01,18930.221194719557,17215.651357317933,20733.07419490624
2019-05-01,15363.339667293516,13513.649783184072,17036.886282087533
2019-06-01,13544.7024769929,11741.706616077008,15366.221944814408
2019-07-01,20982.880714039966,19155.066828065614,22824.795277068122
2019-08-01,13731.421455169066,12021.436930291573,15536.595155137076
2019-09-01,13006.59685500746,11183.431321883027,14886.029927855512
2019-10-01,20981.94893268076,19215.83936725606,22683.422228794767
2019-11-01,15256.186088229204,13535.430108192264,17017.217537084398
2019-12-01,19465.89720821689,17749.69222524327,21352.51479926625
2020-01-01,17603.154981741256,15941.332276394507,19488.742682315118
2020-02-01,12785.422207795844,11107.800180099332,14558.748593021051
2020-03-01,16181.098736538657,14409.653744241,17856.912998908003
2020-03-02,19152.71287085067,17403.44141178962,21084.722835395733
2020-03-03,22538.94150316775,20835.849997589947,24182.1974362654
2020-03-04,26293.328205828526,24548.69607746064,27945.855722497636
2020-03-05,30358.60130172132,28506.41807060732,32070.426348080156
2020-03-06,34667.73096911494,32947.83094090969,36414.03456862192
2020-03-07,39145.23205834472,37475.092077980626,41009.71473222348
2020-03-08,43708.68388005631,42028.6757146708,45362.91017524235
2020-03-09,48270.43300750468,46560.95657259519,50050.21822685851
2020-03-10,52739.44073314793,50994.38637641677,54577.352618283825
2020-03-11,57023.23333317948,55321.22720458905,58766.6913442681
2020-03-12,61029.91080146476,59377.32881419736,62911.16888530258
2020-03-13,64670.16827078581,63006.258271610706,66357.75249506091
2020-03-14,67859.28397238532,66113.56238952557,69670.15925564119
2020-03-15,70519.02829819752,68657.52319869088,72204.75552562709
2020-03-16,72579.45029934947,70928.82222823413,74264.31612886456
2020-03-17,73980.50073339799,72096.81359843594,75725.25139492164
2020-03-18,74673.45448829663,72921.47102220263,76310.29299216741
2020-03-19,74622.09977160035,72708.28305521398,76330.64056423918
2020-03-20,73803.66674682635,71932.20514511132,75537.15040278118
2020-03-21,72209.47419696387,70430.54049514206,73970.63869578039
2020-03-22,69845.27915791568,67934.9044974807,71664.7808069667
2020-03-23,66731.32114111751,64921.55226664442,68580.85782037133
2020-03-24,62902.05939967613,61123.272624157995,64630.46769245853
2020-03-25,58405.608527726654,56617.508168883505,60153.84177073292
2020-03-26,53302.88436246247,51419.17491903226,55026.66532168176
2020-03-27,47666.47853196415,45961.66923514965,49430.82946145759
2020-03-28,41579.28591695764,39995.44223034318,43377.61038780821
2020-03-29,35132.9146417149,33351.19506931548,36830.500721805365
2020-03-30,28425.912862879115,26732.271028036655,30152.529575101216
2020-03-31,21561.850487394426,19756.582615755902,23335.973310576366
