ds,yhat,yhat_lower,yhat_upper
2017-05-01,14851.643992699002,13071.857486600593,16517.085831138953
2017-06-01,14182.97710813401,12413.250430616672,15806.485559754503
2017-07-01,16003.753631700984,14286.447467637612,17730.601675691374
2017-08-01,12694.691263244355,11011.420188764414,14514.058285475454
2017-09-01,11328.9728380968,9676.693231191713,13051.761929276798
2017-10-01,20469.339787386838,18650.11716071401,22156.270322029803
2017-11-01,13595.38462866025,11839.044562998271,15391.457028364983
2017-12-01,15061.845145765184,13291.846308266775,16954.874586746926
2018-01-01,16523.696737717324,14860.436469136366,18274.72474436143
2018-02-01,11978.13804283775,10185.907196701908,13665.680558125343
2018-03-01,13054.950390604137,11277.071030582505,14827.662887107577
2018-04-01,16296.999790168225,14614.651330197132,18111.705583364805
2018-05-01,15122.903525383523,13293.970533153755,16965.777278810772
2018-06-01,13852.760603469596,12058.951621428927,15687.795766327796
2018-07-01,18489.672708899525,16743.794584153617,20334.538702218135
2018-08-01,13223.037461728734,11418.927987528901,14982.744644121069
2018-09-01,12170.957830351916,10499.488666119303,13856.496371673164
2018-10-01,20724.02442604852,18962.86516355284,22480.98039747341
2018-11-01,14412.30244673404,12625.171257405083,16248.50012313535
2018-12-01,17267.18672872348,15502.016548397189,19230.669303348255
2019-01-01,17077.433238814,15155.62041379549,18897.79065414666
2019-02-01,12384.405047348502,10607.524921814445,14118.423949136832
2019-03-01,13342.371828785846,11454.669939647665,15081.461286585825
2019-04-01,18930.221194719557,17161.69345524909,20763.033697339182
2019-05-01,15363.339667293516,13559.909874324361,16983.576586692183
2019-06-01,13544.7024769929,11743.730457023898,15253.417203253106
2019-07-01,20982.880714039966,19166.60552319885,22969.45019850173
2019-08-01,13731.421455169066,12128.609609086148,15514.265186141416
2019-09-01,13006.59685500746,11239.79310302999,14766.244882672907
2019-10-01,20981.94893268076,19203.781069947254,22718.135693645396
2019-11-01,15256.186088229204,13417.525251707259,17015.955963010612
2019-12-01,19465.89720821689,17704.108879171145,21206.996846933856
2020-01-01,17603.154981741256,15824.725836797683,19328.868894050385
2020-02-01,12785.422207795844,11015.18742319069,14579.505203215236
2020-03-01,16181.098736538657,14339.138078818149,17877.29195661602
2020-03-02,19152.71287085067,17346.604040712784,20871.252048022572
2020-03-03,22538.94150316775,20746.92850389127,24271.658141971126
2020-03-04,26293.328205828526,24508.882334016234,28023.711273697347
2020-03-05,30358.60130172132,28412.29897180499,32076.823856324765
2020-03-06,34667.73096911494,32898.23374525042,36417.86998620878
2020-03-07,39145.23205834472,37347.789033211244,40867.63656586696
2020-03-08,43708.68388005631,42007.98891068812,45565.737271633276
2020-03-09,48270.43300750468,46599.66488821334,50028.81205782241
2020-03-10,52739.44073314793,51073.52844471044,54617.04821903281
2020-03-11,57023.23333317948,55381.84058289484,58779.33127699914
2020-03-12,61029.91080146476,59362.00101287975,62985.747034872504
2020-03-13,64670.16827078581,62917.61474161365,66343.91994662641
2020-03-14,67859.28397238532,66177.70200406761,69543.45590104409
2020-03-15,70519.02829819752,68856.29554983562,72298.39679491922
2020-03-16,72579.45029934947,70765.83162808974,74382.88545270628
2020-03-17,73980.50073339799,72164.80388062858,75735.75167002129
2020-03-18,74673.45448829663,72993.90042003771,76526.41371115542
2020-03-19,74622.09977160035,72929.78412168297,76425.62086449182
2020-03-20,73803.66674682635,72017.31392124125,75605.87258954311
2020-03-21,72209.47419696387,70477.42214558834,73943.68787000955
2020-03-22,69845.27915791568,67993.72117039819,71636.68225289066
2020-03-23,66731.32114111751,64894.22655910066,68503.17269163013
2020-03-24,62902.05939967613,61227.15924742045,64695.779753649214
2020-03-25,58405.608527726654,56546.64330621924,60186.03009067062
2020-03-26,53302.88436246247,51440.36390585125,55105.59867539328
2020-03-27,47666.47853196415,45927.00976036145,49493.202476616025
2020-03-28,41579.28591695764,39767.05105862601,43334.53809889339
2020-03-29,35132.9146417149,33319.033153729826,37006.55163117529
2020-03-30,28425.912862879115,26636.3984801033,30273.27234147134
2020-03-31,21561.850487394426,19779.849759269877,23172.009380416726
2020-04-01,14647.296942804844,12927.853058248576,16482.478436928574
2020-04-02,7789.738187329031,6158.994212658786,9548.051930136036
2020-04-03,1095.4772471066099,-671.249194265697,2827.7741053897257
2020-04-04,-5332.437310957695,-7134.880849641028,-3536.1026252527668
2020-04-05,-11396.21141134118,-13164.104472023153,-9549.777361007977
2020-04-06,-17005.19223792163,-18745.134093519737,-15371.70522661144
