ds,yhat,yhat_lower,yhat_upper
2017-05-01,14851.643992699002,13107.129101886858,16640.121782110393
2017-06-01,14182.97710813401,12542.85713859939,15925.815751722754
2017-07-01,16003.753631700984,14080.133946285669,17833.947296932813
2017-08-01,12694.691263244355,10957.52231292597,14242.282654943252
2017-09-01,11328.9728380968,9554.292938568435,13057.25705314471
2017-10-01,20469.339787386838,18879.90719642018,22094.686602721755
2017-11-01,13595.38462866025,11796.164511258296,15390.755932888944
2017-12-01,15061.845145765184,13291.566944049104,16822.136406607682
2018-01-01,16523.696737717324,14776.209963668824,18287.455315155505
2018-02-01,11978.13804283775,10266.630721302392,13811.039890273183
2018-03-01,13054.950390604137,11310.15066948459,14873.2583881628
2018-04-01,16296.999790168225,14517.18340332529,18024.780216573865
2018-05-01,15122.903525383523,13334.06806226646,16871.285966214822
2018-06-01,13852.760603469596,12016.92963121896,15620.948544145655
2018-07-01,18489.672708899525,16705.27989727917,20096.418372823646
2018-08-01,13223.037461728734,11439.759275055227,14960.068729495742
2018-09-01,12170.957830351916,10557.077919860825,13880.344758009045
2018-10-01,20724.02442604852,18831.04381053136,22492.35517851749
2018-11-01,14412.30244673404,12561.086303949714,16199.659688648597
2018-12-01,17267.18672872348,15424.660323015392,19009.32670794013
2019-01-01,17077.433238814,15308.446654921749,18679.562457559816
2019-02-01,12384.405047348502,10572.97964878698,14055.023598209358
2019-03-01,13342.371828785846,11727.108397337892,15160.918758157843
2019-04-01,18930.221194719557,17261.584148364454,20630.08774814165
2019-05-01,15363.339667293516,13718.703750868839,16995.999376584165
2019-06-01,13544.7024769929,11934.55272200782,15393.682346681324
2019-07-01,20982.880714039966,19352.76384574013,22741.62231773792
2019-08-01,13731.421455169066,11903.315726968065,15404.534183289365
2019-09-01,13006.59685500746,11334.10920049803,14777.911535857487
2019-10-01,20981.94893268076,19208.767249754936,22830.1671896753
2019-11-01,15256.186088229204,13516.339319158735,17064.404937020492
2019-12-01,19465.89720821689,17659.696625919118,21133.165892834233
2020-01-01,17603.154981741256,15783.547147030675,19343.345250125712
2020-02-01,12785.422207795844,11102.393381851802,14402.869031687082
2020-03-01,16181.098736538657,14560.882537724363,17795.611817465084
2020-03-02,19152.71287085067,17448.642883508794,20947.1561398141
2020-03-03,22538.94150316775,20757.545020033194,24170.27239642847
2020-03-04,26293.328205828526,24536.242501581448,28024.166124537125
2020-03-05,30358.60130172132,28640.743961319382,32175.85916723002
2020-03-06,34667.73096911494,32996.266461939216,36513.13714130659
2020-03-07,39145.23205834472,37412.321237969765,40944.4465361478
2020-03-08,43708.68388005631,41949.60704152887,45542.5234748767
2020-03-09,48270.43300750468,46567.05969682932,50099.40216342987
2020-03-10,52739.44073314793,50926.88104387174,54545.403482790454
2020-03-11,57023.23333317948,55385.43348940465,58855.28927553351
2020-03-12,61029.91080146476,59211.22204896504,62752.07400009071
2020-03-13,64670.16827078581,62931.85817435085,66481.17700951768
2020-03-14,67859.28397238532,66036.86047936638,69565.00097263171
2020-03-15,70519.02829819752,68854.89135891067,72265.97366219472
2020-03-16,72579.45029934947,70728.2012056288,74422.87285204646
2020-03-17,73980.50073339799,72265.58505343433,75869.56423734191
2020-03-18,74673.45448829663,72950.54511959213,76286.93585687556
2020-03-19,74622.09977160035,72801.66140471832,76376.22385165411
2020-03-20,73803.66674682635,71912.15860836938,75546.44664593249
2020-03-21,72209.47419696387,70356.74294182437,73985.87435696204
2020-03-22,69845.27915791568,68132.83796802416,71733.31424181386
2020-03-23,66731.32114111751,65024.081013830284,68434.53609711964
2020-03-24,62902.05939967613,61086.12375920051,64647.11848577971
2020-03-25,58405.608527726654,56715.039061766984,60303.24400994403
2020-03-26,53302.88436246247,51645.72106643251,54967.16959501974
2020-03-27,47666.47853196415,45897.15528802696,49454.83279821106
2020-03-28,41579.28591695764,39843.070713719804,43425.50654813539
2020-03-29,35132.9146417149,33450.56298742007,36866.240984869044
2020-03-30,28425.912862879115,26480.57584568034,30301.28521643291
2020-03-31,21561.850487394426,19607.10591884833,23308.68728961544
