ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14377.512934962766,10561.917833013435,18155.041979561778
2018-08-01 13:00:00,14442.634000201642,10746.446459969511,18485.25571232504
2018-08-01 14:00:00,14507.755066682266,10906.901759595248,18579.539006424864
2018-08-01 15:00:00,14572.876134713419,10889.272988989287,18404.25691277918
2018-08-01 16:00:00,14637.997202110742,10915.700171126307,18520.15576157986
2018-08-01 17:00:00,14703.118267686943,11115.066702933655,18652.83276107756
2018-08-01 18:00:00,14768.239332549883,10972.076739777274,18755.147505615954
2018-08-01 19:00:00,14833.360398076962,11075.42766427559,18849.45807651449
2018-08-01 20:00:00,14898.481463604043,11203.463675593612,18710.524441756857
2018-08-01 21:00:00,14963.602529140793,10944.89851796533,18764.682903960726
2018-08-01 22:00:00,15028.72359649984,11178.983060968905,18562.32052192112
2018-08-01 23:00:00,15093.844663399106,11491.417680039325,19054.72927815481
2018-08-02 00:00:00,15158.965729273008,11386.955322778835,18902.920801064007
2018-08-02 01:00:00,15224.086795682832,11152.135587437951,19122.42493416565
2018-08-02 02:00:00,15289.207861855126,11211.632284315,19048.791505562298
2018-08-02 03:00:00,15354.328927538345,11512.715391471227,19299.632434478073
2018-08-02 04:00:00,15419.449993449474,11850.60024568488,19541.190965831593
2018-08-02 05:00:00,15484.571057831841,11301.83431868067,19269.899126759236
2018-08-02 06:00:00,15549.69212396997,11646.00349947628,19176.50826927921
2018-08-02 07:00:00,15614.813188023083,12055.76666642547,19456.673345571893
2018-08-02 08:00:00,15679.934250634158,11654.345131746264,19473.151070950713
2018-08-02 09:00:00,15745.055313245233,11934.773612303547,19616.911042758315
2018-08-02 10:00:00,15810.176374602454,11872.750508122317,19263.23787184187
2018-08-02 11:00:00,15875.297436763629,11910.691541427652,19689.042656238646
2018-08-02 12:00:00,15940.418497042314,12080.954244971199,19838.515267977466
2018-08-02 13:00:00,16005.539559011835,12225.457850091996,20245.17848467995
2018-08-02 14:00:00,16070.660621109879,12218.617644681275,19890.54572303356
2018-08-02 15:00:00,16135.781681934506,12313.95219419685,20046.862052942415
2018-08-02 16:00:00,16200.902741896381,12370.428151479355,19947.519854005204
2018-08-02 17:00:00,16266.023801858255,12376.755113270976,19989.42505998193
2018-08-02 18:00:00,16331.144861820128,12327.27665578106,19994.852616860426
2018-08-02 19:00:00,16396.265921782004,12524.402639738442,19989.21547565917
2018-08-02 20:00:00,16461.38698174388,12409.217268811288,20610.591523274612
2018-08-02 21:00:00,16526.50804170575,12504.006234728684,20672.190832931235
2018-08-02 22:00:00,16591.629101667626,12809.70734124756,20413.669161658487
2018-08-03 22:00:00,18154.534540752604,14046.093554986615,22072.74537234759
2018-08-04 22:00:00,19717.439979837585,15745.840956983518,23574.06117312227
2018-08-05 22:00:00,21280.345418922563,17242.453918624844,25057.704202811823
2018-08-06 22:00:00,22843.250858007545,19012.93745027918,26657.285890389805
2018-08-07 22:00:00,24406.15629709252,20576.568919679,28567.987565544547
2018-08-08 22:00:00,25969.0617361775,22121.73504349764,30041.84105227588
2018-08-09 22:00:00,27531.967175262478,23894.93758895332,31369.735477752205
2018-08-10 22:00:00,29094.87261434746,25214.063893899922,32602.688116265417
2018-08-11 22:00:00,30657.778053432437,26638.590100594716,34432.55106839696
2018-08-12 22:00:00,32220.68349251742,28359.939386123995,36176.521549837395
2018-08-13 22:00:00,33783.5889316024,29962.200577419728,37629.906706550806
2018-08-14 22:00:00,35346.494370687375,31569.009808478288,39051.322854167454
2018-08-15 22:00:00,36909.39980977236,32949.83989696727,40520.124007157865
2018-08-16 22:00:00,38472.30524885734,34808.01350214981,42214.039069486265
2018-08-17 22:00:00,40035.21068794231,35927.93047680397,43964.937259298014
2018-08-18 22:00:00,41598.1161270273,37715.66784219092,45516.43302131283
2018-08-19 22:00:00,43161.02156611227,39713.63628879768,47031.06825431203
2018-08-20 22:00:00,44723.92700519725,40735.976144036926,48367.511652046574
2018-08-21 22:00:00,46286.83244428223,42861.469258570214,50313.65113839452
2018-08-22 22:00:00,47849.737883367205,43903.89380735268,51724.74117740107
2018-08-23 22:00:00,49412.64332245219,45623.113885289305,53306.93271105104
2018-08-24 22:00:00,50975.54876153717,46900.464752628235,55133.10898459089
2018-08-25 22:00:00,52538.454200622145,48887.195318969905,56382.64010761352
2018-08-26 22:00:00,54101.35963970712,50326.64620051164,57871.99674466242
