ds,yhat,yhat_lower,yhat_upper
2018-08-01 12:00:00,14287.184575536676,10384.179498989062,18058.969674786895
2018-08-01 13:00:00,14360.516251124765,10605.401473362177,18335.265490996764
2018-08-01 14:00:00,14433.847926768112,10439.427930005908,18208.984364173408
2018-08-01 15:00:00,14507.179602516375,10763.239059262598,18329.53186504834
2018-08-01 16:00:00,14580.511278261805,10466.998091201183,18279.344598114938
2018-08-01 17:00:00,14653.842954111782,10900.986221690022,18264.88878069917
2018-08-01 18:00:00,14727.174630020412,10829.479552139612,18742.420782023135
2018-08-01 19:00:00,14800.50630599344,11063.665753261428,18540.991526103466
2018-08-01 20:00:00,14873.837982037858,10787.319935056794,18690.1515431721
2018-08-01 21:00:00,14947.169658051833,10982.291985995564,18858.230050625076
2018-08-01 22:00:00,15020.501334152568,11115.481160319809,18953.18740270773
2018-08-01 23:00:00,15093.833010134536,11348.50871046333,18831.993074067017
2018-08-02 00:00:00,15167.164686186488,11344.861179065263,19209.18120187544
2018-08-02 01:00:00,15240.496362346183,11102.296769001612,19167.788329001633
2018-08-02 02:00:00,15313.828038505873,11343.32670977845,19382.955778068303
2018-08-02 03:00:00,15387.15971465036,11644.871794010918,19193.75279970528
2018-08-02 04:00:00,15460.491390761495,11618.55247253651,19656.71565481477
2018-08-02 05:00:00,15533.82306684512,11981.594294751023,19485.110982792314
2018-08-02 06:00:00,15607.154742806886,11687.419092661663,19668.75374677914
2018-08-02 07:00:00,15680.48641886319,11902.554973105447,19455.455751986734
2018-08-02 08:00:00,15753.818094912072,12188.527738006274,19909.07907410753
2018-08-02 09:00:00,15827.149770888695,12426.993137415657,19529.171406610516
2018-08-02 10:00:00,15900.481446974956,11602.902079331558,19571.467890043128
2018-08-02 11:00:00,15973.813122985146,12127.004998962051,19859.894090385027
2018-08-02 12:00:00,16047.144798990395,12124.487990037678,20334.101581107047
2018-08-02 13:00:00,16120.476475019594,12291.266560981583,19974.381692702133
2018-08-02 14:00:00,16193.808150977764,12371.61180336899,19979.861709562163
2018-08-02 15:00:00,16267.13982705686,12173.978224277682,19913.25801029805
2018-08-02 16:00:00,16340.471503135956,11981.063583768495,20308.86070811464
2018-08-02 17:00:00,16413.80317921505,12513.789989408844,20432.76416622436
2018-08-02 18:00:00,16487.134855294145,12503.11905504404,20341.875240268597
2018-08-02 19:00:00,16560.46653137324,12825.800767111596,20266.68666148713
2018-08-02 20:00:00,16633.798207452335,12718.169540268264,20579.311720235237
2018-08-02 21:00:00,16707.12988353143,12832.961058555064,20570.7738531342
2018-08-03 21:00:00,18467.090109429722,14613.722545341678,22557.125885440797
2018-08-04 21:00:00,20227.05033532801,16398.96664683425,24297.642745204743
2018-08-05 21:00:00,21987.010561226303,18195.9871324084,25862.8849736401
2018-08-06 21:00:00,23746.970787124592,19591.334669858144,27613.855039917325
2018-08-07 21:00:00,25506.931013022884,21306.213485418237,29377.09867100449
2018-08-08 21:00:00,27266.891238921173,23187.405472838687,31124.26082672468
2018-08-09 21:00:00,29026.851464819458,25105.177439476,32960.14128767827
2018-08-10 21:00:00,30786.811690717754,26585.085062136586,34597.75696580322
2018-08-11 21:00:00,32546.771916616046,28605.066091250992,36411.40680632538
2018-08-12 21:00:00,34306.73214251434,30647.730374737715,38100.238562925995
2018-08-13 21:00:00,36066.69236841262,32115.353251951296,40097.26702585208
2018-08-14 21:00:00,37826.652594310915,33989.750647946195,41661.46485113196
2018-08-15 21:00:00,39586.6128202092,35577.13253663105,43536.72043366931
2018-08-16 21:00:00,41346.57304610749,37387.7630774495,44960.16213572737
2018-08-17 21:00:00,43106.53327200578,39187.78840292125,47036.16763715073
2018-08-18 21:00:00,44866.49349790408,41029.7579193877,48936.77721754076
2018-08-19 21:00:00,46626.45372380236,42536.12409180297,50830.12915026936
2018-08-20 21:00:00,48386.413949700654,44780.83722604047,52352.16037893546
2018-08-21 21:00:00,50146.37417559894,46240.03658710763,53906.703439862
2018-08-22 21:00:00,51906.334401497224,47965.69595041633,55718.96848454869
2018-08-23 21:00:00,53666.294627395524,49821.58949859782,57631.91894731152
2018-08-24 21:00:00,55426.254853293816,51484.268986538955,59065.27045498714
2018-08-25 21:00:00,57186.2150791921,53349.136196333486,61021.539077379726
2018-08-26 21:00:00,58946.175305090386,55384.94012385809,62886.211462960084
2018-08-27 21:00:00,60706.13553098869,56684.274414293046,64595.10200439422
2018-08-28 21:00:00,62466.09575688698,58729.35603816316,66582.04875912437
2018-08-29 21:00:00,64226.05598278526,60237.71180745252,67857.87024646216
2018-08-30 21:00:00,65986.01620868356,62062.66945422966,69894.19298867242
2018-08-31 21:00:00,67745.97643458184,63750.9562736068,71466.48577258288
2018-09-01 21:00:00,69505.93666048013,65838.24714779451,73430.4131123826
