ds,yhat,yhat_lower,yhat_upper
2017-05-01,14851.643992699002,13095.621290507863,16569.50700219336
2017-06-01,14182.97710813401,12381.801454762868,15819.56616873284
2017-07-01,16003.753631700984,14397.77817720618,17789.255556010892
2017-08-01,12694.691263244355,10981.578819678252,14394.775394501181
2017-09-01,11328.9728380968,9518.809274421264,13117.880768856974
2017-10-01,20469.339787386838,18631.930244722524,22172.235742806297
2017-11-01,13595.38462866025,11912.992536240694,15319.50634166525
2017-12-01,15061.845145765184,13346.911784683254,16859.128620825817
2018-01-01,16523.696737717324,14715.499960525709,18406.80689969866
2018-02-01,11978.13804283775,10208.397276184372,13739.316906220141
2018-03-01,13054.950390604137,11307.698738899258,14736.044685638
2018-04-01,16296.999790168225,14614.742008493125,18024.235448836214
2018-05-01,15122.903525383523,13344.597370771988,16900.18885167912
2018-06-01,13852.760603469596,12178.617402234457,15522.270641387933
2018-07-01,18489.672708899525,16743.534576769096,20297.74673574099
2018-08-01,13223.037461728734,11461.014771872291,14890.991136409997
2018-09-01,12170.957830351916,10324.312596006685,13910.270337087168
2018-10-01,20724.02442604852,18937.211115606828,22377.97089946148
2018-11-01,14412.30244673404,12743.728413041228,16209.383831546513
2018-12-01,17267.18672872348,15495.218826536197,19129.768006433194
2019-01-01,17077.433238814,15263.647907065728,18791.971188473857
2019-02-01,12384.405047348502,10590.458324876254,14173.528045030866
2019-03-01,13342.371828785846,11615.244290434208,15021.877685476096
2019-04-01,18930.221194719557,17237.225851095613,20707.36120358979
2019-05-01,15363.339667293516,13729.776122730562,17144.069658691864
2019-06-01,13544.7024769929,11787.393308269919,15381.427340699614
2019-07-01,20982.880714039966,19227.394280973884,22770.078782184384
2019-08-01,13731.421455169066,12053.514940197272,15451.313572512632
2019-09-01,13006.59685500746,11280.05015596044,14728.387478205017
2019-10-01,20981.94893268076,19365.660847251827,22891.27532661597
2019-11-01,15256.186088229204,13406.636015112152,17026.996633863408
2019-12-01,19465.89720821689,17621.387295747332,21289.70143823704
2020-01-01,17603.154981741256,15843.498396489007,19331.574411478352
2020-02-01,12785.422207795844,10991.811960227385,14562.521683533862
2020-03-01,16181.098736538657,14464.592576049477,18058.544242601296
2020-03-02,19152.71287085067,17425.21698375801,20891.544012102953
2020-03-03,22538.94150316775,20913.244877985995,24337.763766825457
2020-03-04,26293.328205828526,24462.973449542245,28146.697515087784
2020-03-05,30358.60130172132,28610.386500199693,32078.435139804926
2020-03-06,34667.73096911494,32838.66022742611,36395.20945950548
2020-03-07,39145.23205834472,37316.30016711838,40919.2468863106
2020-03-08,43708.68388005631,41867.45888872742,45404.83823089116
2020-03-09,48270.43300750468,46522.554867959705,50004.163646098765
2020-03-10,52739.44073314793,50914.474920641565,54399.980713280966
2020-03-11,57023.23333317948,55124.793447966025,58797.815012734914
2020-03-12,61029.91080146476,59300.78465369614,62909.41660349504
2020-03-13,64670.16827078581,62845.44019734907,66581.8515312816
2020-03-14,67859.28397238532,66056.82651162893,69434.4112390437
2020-03-15,70519.02829819752,68726.59772602562,72328.90295909432
2020-03-16,72579.45029934947,70835.67354020619,74216.05581940306
2020-03-17,73980.50073339799,72260.70186334172,75817.36378636
2020-03-18,74673.45448829663,72895.40627960053,76508.92252352729
2020-03-19,74622.09977160035,72935.78713018287,76333.67345795671
2020-03-20,73803.66674682635,72035.08613160913,75466.88034048234
2020-03-21,72209.47419696387,70326.50313884839,73852.81041642038
2020-03-22,69845.27915791568,68085.50638444927,71550.74128709664
2020-03-23,66731.32114111751,64967.749113947175,68464.98173933374
2020-03-24,62902.05939967613,61178.28102798673,64609.741426717446
2020-03-25,58405.608527726654,56599.117117530506,60311.42289457578
2020-03-26,53302.88436246247,51558.40555918143,55075.909773121384
2020-03-27,47666.47853196415,45964.41810617739,49444.5102465909
2020-03-28,41579.28591695764,39821.098769907214,43338.3225595656
2020-03-29,35132.9146417149,33371.59943415204,36926.374620579365
2020-03-30,28425.912862879115,26567.93875554448,30331.505211638163
2020-03-31,21561.850487394426,19697.84180349662,23261.682954318763
