ds,yhat,yhat_lower,yhat_upper
2017-06-01,13796.250247670796,12232.325123489753,15546.859504409098
2017-07-01,15731.820172849457,14103.840031439342,17494.076107449862
2017-08-01,12612.44394357243,10930.146560184563,14285.42954123653
2017-09-01,11437.071509391226,9744.783668291975,13040.51470502868
2017-10-01,20743.793390264407,19053.420489377713,22303.17481592819
2017-11-01,13952.654843974218,12339.688824101147,15563.114420806918
2017-12-01,15400.579920359402,13770.850011213279,17015.290007445783
2018-01-01,16749.49739052865,14984.776735290225,18345.097344881564
2018-02-01,12015.959935179759,10254.48730754517,13708.87370130472
2018-03-01,13216.469789881832,11523.70414821625,14991.961600139775
2018-04-01,15600.49352525148,14014.035115581233,17221.969563970782
2018-05-01,17211.708867962516,15574.906235092663,18832.12724667843
2018-06-01,13840.593413010709,12179.294446129801,15733.34275150691
2018-07-01,18491.371415692996,16846.801860288495,20050.50034497091
2018-08-01,13225.484282593163,11547.663501912342,14939.002832936503
2018-09-01,12173.93423998911,10438.450094559477,13795.57075098008
2018-10-01,20730.68071240221,18961.80165089543,22416.040248391306
2018-11-01,14413.990758201388,12777.635481326392,16136.602870912564
2018-12-01,17267.433970277467,15634.984442435396,19014.52195803391
2019-01-01,17076.100159166697,15500.677868971488,18734.83675351672
2019-02-01,12380.748058694337,10631.5325978227,14046.454098736851
2019-03-01,13352.885202739611,11598.540313296942,15023.825434172617
2019-04-01,19627.736077131416,18166.940834337423,21319.35857873172
2019-05-01,14747.039111766508,12951.668867818491,16284.170677640077
2019-06-01,13944.347419583482,12277.212549391448,15666.215779268223
2019-07-01,21263.158262774974,19605.161650245846,22935.114358963074
2019-08-01,13812.785009482712,12176.741992194453,15613.135623041055
2019-09-01,12895.621780917432,11163.24080419468,14483.466929335786
2019-10-01,20713.687817186248,18952.50219152947,22254.237270111986
2019-11-01,14899.748413062433,13297.94457433962,16628.153137040856
2019-12-01,19131.61213391156,17474.687232108936,20770.033255931972
2020-01-01,17382.445437400587,15713.125651386299,19034.39045284382
2020-02-01,12746.475895107676,11072.977305342065,14599.215040433659
2020-03-01,16008.022412067858,14340.267374022062,17723.018785059307
2020-03-02,19089.228311634422,17460.019131223307,20701.5948403539
2020-03-03,22762.81897675419,20836.598009034453,24389.338363335544
2020-03-04,27006.424455298555,25414.933755236812,28789.982697396194
2020-03-05,31781.951903849276,30138.635115399702,33378.721626542916
2020-03-06,37035.53586048751,35263.2991116589,38651.41375855706
2020-03-07,42697.85677880814,41159.885362929235,44329.705746216976
2020-03-08,48684.83544260844,46945.72190203346,50393.95599027517
2020-03-09,54898.702305180515,53130.98139910947,56580.21666860514
2020-03-10,61229.4319555368,59573.814170015474,62825.681540808204
2020-03-11,67556.52401051724,65971.29009999894,69275.0337261983
2020-03-12,73751.10297566361,72064.69857928673,75485.61106205302
2020-03-13,79678.3012256317,78007.11602025194,81262.92112781925
2020-03-14,85199.88143651278,83602.86879792888,86761.71391804767
2020-03-15,90177.04776365586,88593.38391761472,91948.6899405272
2020-03-16,94473.38898959837,92781.03429772735,96133.3407807281
2020-03-17,97957.89194270271,96282.86221462586,99611.92234171639
2020-03-18,100507.95985783159,98950.162537471,102238.50210526444
2020-03-19,102012.36814012214,100356.68139119723,103675.64427451021
2020-03-20,102374.08929553002,100677.52176674316,104004.23863797124
2020-03-21,101512.91966505836,99864.28157117167,103229.47995065982
2020-03-22,99367.84306778961,97843.09221929217,100988.10213738777
2020-03-23,95899.0705044263,94193.05631822825,97645.39876856886
2020-03-24,91089.70064573895,89361.64087027543,92776.7388803309
2020-03-25,84946.95283621861,83283.00311886225,86742.55810607786
2020-03-26,77502.93265449339,75817.9016225403,79238.84502927185
2020-03-27,68814.89952507876,67115.66616995828,70486.63600217886
2020-03-28,58965.016275871945,57111.3183160944,60643.01551588392
2020-03-29,48059.5716602689,46371.85833437156,49766.33703294395
2020-03-30,36227.678467262274,34433.35237830159,37752.87510970787
2020-03-31,23619.46166492116,22012.42831853708,25194.396202321044
