case_id,subject,description,chat_body
Req5696523264,NA,need close this ticket. I need decrease invoice amount. I got an error .,
Req3695906596,NA - system,need assistance in submitting invoice,
Req3016938407,NA - PO mismatch,want to know why invoce is not mismatched with PO ,
Req7241329360,NA - PO mismatch,supplier want to know the reason of invoice mismatch,
Req7244077241,NA,I want to increase PO amount. What's the invoice status now?,
Req8486397001,NA,"want to know invoice status, please provide details.",
Req4715465943,NA,"please reject the invoice, it was submitted with some error.","< p align= '' center '' > chat start : wednesday , januari , , : : ( - ) < / p > < p align= '' center '' > chat origin : procur NA english L2 AP < / p > < p align= '' center '' > agent rishab R < / p > ( ) rishab R : welcom online chat session leslieann. < br > ( ) leslieann : Hi rishab. < br > ( ) rishab R : hello leslieann < br > ( 1m ) leslieann : something wrong with the current invoice, please reject it ? < br > ( 1m ) leslieann : It was an submit error. < br > ( 1m ) rishab R : let check detail , pleas allow moment. < br > ( 1m ) rishab R : So want invoic reject ? < br > ( 2m 1 ) leslieann : ye , please. < br > ( 2m ) rishab R : allow moment < br > ( 5m ) leslieann : Ok , thank you. < br > ( 7m ) rishab R : pleas keep type something < br > ( 7m ) leslieann : do. < br > ( 9m ) leslieann : appreciate your work on this. < br > ( ) leslieann : keep chat open. < br > ( ) rishab R : please provide email conform why you want to reject this invoice < br > ( ) leslieann : who I send ? < br > ( ) rishab R : email , repli back < br > ( ) leslieann : ok < br > ( ) rishab R : I email < br > ( ) leslieann : Ok , came through. < br > ( ) rishab R : cool < br > ( ) leslieann : sent email back. < br > ( ) rishab R : Ok < br > ( 4 ) leslieann : keep line open. < br > ( ) leslieann : keep line open. < br > ( ) rishab R : ticket has raised to reject this invoice < br > ( 3 ) rishab R : ticket < br > ( ) rishab R : pleas keep check end < br > ( ) rishab R : hour < br > ( ) leslieann : thanks, rishab ! < br > ( 2 ) rishab R : welcome. Is anything else I can assist ? < br > ( 9 ) leslieann : No. < br > ( ) leslieann : enjoy your rest day. < br > ( ) rishab R : thanks to contact the global service , great day ahead ! < br >"
Req8448301491,NA,please check the mismatch reason.,
Req3325012879,NA - invoice upload,supplier want to know how to upload invoice,
Req5949571112,NA,want to know the invoice status,
Req6419180249,NA,"Hi, I need reject the invoice. I can't open requisit emarketplace, I received an error 'was an unexpect system error. error code : '. Could you please reject the invoice? I appreciate your help.",
