TRANSACTION_ID,SUPPLIER_PARENT_NAME,SUPPERLIER_NAME,MATERIAL_DESCRIPTION,GL_ACCOUNT_DESCRIPTION,INVOICE_DESCRIPTION,MCC_DESCRIPTION,PO_DESCRIPTION,AMOUNT
TRANS350497,PARENT_SUPPLIER_979492,SUPPLIER_979492,,ACCT DESC NOT FOUND,,,," 31,329.97 "
TRANS491074,PARENT_SUPPLIER_399727,SUPPLIER_399727,,ACCT DESC NOT FOUND,,,"ASSY,  POWER SUPPLY ENVELOPE C"," 20,106.60 "
TRANS561737,PARENT_SUPPLIER_358524,SUPPLIER_358524,"ASSY,  POWER SUPPLY IA MODULE",ACCT DESC NOT FOUND,,,"ASSY,  POWER SUPPLY IA MODULE"," 80,084.00 "
TRANS566505,PARENT_SUPPLIER_544670,SUPPLIER_544670,,ACCT DESC NOT FOUND,,,Item Not In Inventory," 4,799.40 "
TRANS806137,PARENT_SUPPLIER_450232,SUPPLIER_450232,,INTERCOMPANY - ACCTS RECEIVABLE,,,," 12,916.62 "
TRANS626393,PARENT_SUPPLIER_729875,SUPPLIER_729875,,INTERCOMPANY - ACCTS RECEIVABLE,,,," 1,260.00 "
TRANS651198,PARENT_SUPPLIER_336628,SUPPLIER_336628,,PROJECT SETTLEMENT TO ASSETS,Barcode Verifier,,Offline verifiers," 4,809.32 "
TRANS636857,PARENT_SUPPLIER_574000,SUPPLIER_574000,,VAT RECEIVABLE - AUTOPOST,,,"New Manager Bootcamp, 10th December", 119.11 
TRANS326748,PARENT_SUPPLIER_818974,SUPPLIER_818974,,MATERIALS AND SUPPLIES - SPARE PARTS,,,SERVICE," 2,529.02 "
TRANS824540,PARENT_SUPPLIER_494904,SUPPLIER_494904,,ACCRUED TAXES PAYABLE - VENDOR WITHHOLDING,Fatura brut. 116656,,SERVICE, -30.46 
TRANS525375,PARENT_SUPPLIER_556201,SUPPLIER_556201,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,"N1170175   SEAT, GEA HOMOGENIZER - RELIE"," 1,805.00 "
TRANS437618,PARENT_SUPPLIER_127202,SUPPLIER_127202,,ACCRUED  USE TAX,,,, -11.96 
TRANS290694,PARENT_SUPPLIER_767621,SUPPLIER_767621,,ACCRUED  USE TAX,,,, -0.22 
TRANS933415,PARENT_SUPPLIER_481183,SUPPLIER_481183,,INTERCOMPANY - ACCTS RECEIVABLE,,,," 1,272.00 "
TRANS212955,PARENT_SUPPLIER_908827,SUPPLIER_908827,,ACCRUED  USE TAX,,,, -759.80 
TRANS826549,PARENT_SUPPLIER_866200,SUPPLIER_866200,,INTERCOMPANY - ACCTS RECEIVABLE,,,," 1,633.75 "
TRANS834900,PARENT_SUPPLIER_450635,SUPPLIER_450635,,VAT RECEIVABLE - AUTOPOST,,,, 147.56 
TRANS282387,PARENT_SUPPLIER_457715,SUPPLIER_457715,,COST (PRICE) DIFF RM - THIRD PARTY-MANUAL,,,Liquid Maltose disposal-Jul19," 2,108.04 "
TRANS277685,PARENT_SUPPLIER_439362,SUPPLIER_439362,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,9380961709 SICK 1028227 COLOUR SENSOR 4, 893.72 
TRANS772499,PARENT_SUPPLIER_957075,SUPPLIER_957075,,MATERIALS AND SUPPLIES - OPERATIONS,Sch.3033 waste container,,Pallets of bottling," 6,567.37 "
TRANS189787,PARENT_SUPPLIER_131516,SUPPLIER_131516,,INPUT VAT TAX DEFERRED AUTO,,,Food, 20.94 
TRANS749987,PARENT_SUPPLIER_941448,SUPPLIER_941448,,INPUT VAT TAX DEFERRED AUTO,,,Food, 51.65 
TRANS794917,PARENT_SUPPLIER_585493,SUPPLIER_585493,,PROJECT SETTLEMENT TO ASSETS,Barcode Verifier,,Offline verifiers," 4,809.32 "
TRANS821134,PARENT_SUPPLIER_272265,SUPPLIER_272265,,INPUT VAT TAX DEFERRED AUTO,,,Explosion-proof BELLIT039 PLUG CABLE, 29.60 
TRANS905746,PARENT_SUPPLIER_966047,SUPPLIER_966047,,MAINTENANCE CLEARING,,,BELLIT041 Batteries SECURITY FORCE 12, -   
TRANS542072,PARENT_SUPPLIER_978317,SUPPLIER_978317,,MAINTENANCE CLEARING,,,Explosion-proof BELLIT039 PLUG CABLE, -   
TRANS662080,PARENT_SUPPLIER_856361,SUPPLIER_856361,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,Explosion-proof BELLIT039 PLUG CABLE, 122.70 
TRANS527361,PARENT_SUPPLIER_611995,SUPPLIER_611995,,INPUT VAT TAX DEFERRED AUTO,,,BELLZ00007 Marley MEDITSINSKAYA ART. 6498 3, 149.12 
TRANS207808,PARENT_SUPPLIER_200793,SUPPLIER_200793,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,VORMAK51 CIRCLE CUTTING METAL, 6.75 
TRANS487212,PARENT_SUPPLIER_763574,SUPPLIER_763574,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,VORMAK538 Electrodes, 60.40 
TRANS124788,PARENT_SUPPLIER_536155,SUPPLIER_536155,,(GR/IR) - GOOD RECEIVED / INVOICE RECEIVED,,,VORMAK538 Electrodes, 40.84 
TRANS230014,PARENT_SUPPLIER_259502,SUPPLIER_259502,,INPUT VAT TAX DEFERRED AUTO,,,Create interactive presentations," 1,943.08 "
TRANS320253,PARENT_SUPPLIER_534460,SUPPLIER_534460,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations," 1,068.69 "
TRANS752750,PARENT_SUPPLIER_271737,SUPPLIER_271737,,PROMOTION EXPENSE,Sch.0826 / 0001 195 Slide Layout,,Create interactive presentations," 1,263.00 "
TRANS183081,PARENT_SUPPLIER_857976,SUPPLIER_857976,,INPUT VAT TAX DEFERRED AUTO,,,Litobzor for AO (Slabilen), 797.16 
TRANS466547,PARENT_SUPPLIER_504261,SUPPLIER_504261,,CRO - PASS-THRU,Sch.39Lit.obzory on doklinich.i klinich.issl.Slabilen,,Litobzor for AO (Slabilen)," 3,985.80 "
TRANS605625,PARENT_SUPPLIER_346213,SUPPLIER_346213,,BUSINESS MEETINGS,15717738,,"Stand Space Practice Workshop, Leicester", 477.20 
TRANS724947,PARENT_SUPPLIER_435045,SUPPLIER_435045,,BUSINESS MEETINGS,15717737,,"Stand Space, Practical Workshop", 477.20 
TRANS153137,PARENT_SUPPLIER_222059,SUPPLIER_222059,,VAT RECEIVABLE - AUTOPOST,,,ANI Taxi Service 2019/2020, 1.53 
TRANS270848,PARENT_SUPPLIER_486786,SUPPLIER_486786,,TRAVEL AND ENTERTAINMENT EXP  MAN- DEDUCTIBLE,150319,,ANI Taxi Service 2019/2020, 7.64 
TRANS894218,PARENT_SUPPLIER_810992,SUPPLIER_810992,,TRAINING,INV197602,,"New Manager Bootcamp, 10th December", 595.55 
